GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
GEN.15.16	A dychwelant hwy yma yn y bedwaredd genhedlaeth; oherwydd ni chwblheir hyd hynny ddrygioni'r Amoriaid.” 
GEN.15.17	Yna wedi i'r haul fachlud, ac iddi dywyllu, ymddangosodd ffwrn yn mygu a ffagl fflamllyd yn symud rhwng y darnau hynny.
GEN.15.18	Y dydd hwnnw, gwnaeth yr 
GEN.15.18	“I'th ddisgynyddion di y rhoddaf y wlad hon,
GEN.15.18	o afon yr Aifft hyd yr afon fawr, afon Ewffrates.”
GEN.15.19	Dyna wlad y Ceneaid, y Cenesiaid, y Cadmoniaid, 
GEN.15.20	yr Hethiaid, y Peresiaid, y Reffaimiaid, 
GEN.15.21	yr Amoriaid, y Canaaneaid, y Girgasiaid, a'r Jebusiaid.
GEN.16.1	Nid oedd plant gan Sarai gwraig Abram, ond yr oedd ganddi forwyn o Eifftes, o'r enw Hagar. 
GEN.16.2	Dywedodd Sarai wrth Abram, “Edrych yn awr, y mae'r 
GEN.16.3	Wedi i Abram fyw am ddeng mlynedd yng ngwlad Canaan, cymerodd Sarai gwraig Abram ei morwyn Hagar yr Eifftes, a'i rhoi'n wraig i'w gŵr Abram. 
GEN.16.4	Cafodd ef gyfathrach â Hagar, a beichiogodd hithau; a phan ddeallodd ei bod yn feichiog, aeth ei meistres yn ddibris yn ei golwg. 
GEN.16.5	Yna dywedodd Sarai wrth Abram, “Bydded fy ngham arnat ti! Rhoddais fy morwyn yn dy fynwes, a phan ddeallodd ei bod yn feichiog, euthum yn ddibris yn ei golwg. Bydded i'r 
GEN.16.6	Dywedodd Abram wrth Sarai, “Edrych, y mae dy forwyn dan dy ofal; gwna iddi fel y gweli'n dda.” Yna bu Sarai yn gas wrthi, nes iddi ffoi oddi wrthi.
GEN.16.7	Daeth angel yr 
GEN.16.8	A dywedodd wrthi, “Hagar forwyn Sarai, o ble y daethost, ac i ble'r wyt yn mynd?” Dywedodd hithau, “Ffoi yr wyf oddi wrth fy meistres Sarai.” 
GEN.16.9	A dywedodd angel yr 
GEN.16.10	Dywedodd angel yr 
GEN.16.11	A dywedodd angel yr 
GEN.16.11	“Yr wyt yn feichiog, ac fe esgori ar fab;
GEN.16.11	byddi'n ei alw yn Ismael
GEN.16.11	oherwydd clywodd yr 
GEN.16.12	Asyn gwyllt o ddyn a fydd,
GEN.16.12	a'i law yn erbyn pawb, a llaw pawb yn ei erbyn ef,
GEN.16.12	un yn byw'n groes i'w holl gymrodyr.”
GEN.16.13	A galwodd hi enw'r 
GEN.16.14	Am hynny galwyd y pydew Beer-lahai-roi;
GEN.16.15	Ac esgorodd Hagar ar fab i Abram; ac enwodd Abram y mab a anwyd i Hagar yn Ismael. 
GEN.16.16	Yr oedd Abram yn wyth deg a chwech oed pan anwyd iddo Ismael o Hagar.
GEN.17.1	Pan oedd Abram yn naw deg a naw mlwydd oed ymddangosodd yr 
GEN.17.2	Gwnaf fy nghyfamod â thi, ac amlhaf di'n ddirfawr.” 
GEN.17.3	Syrthiodd Abram ar ei wyneb, a llefarodd Duw wrtho a dweud, 
GEN.17.4	“Dyma fy nghyfamod i â thi: byddi'n dad i lu o genhedloedd, 
GEN.17.5	ac ni'th enwir di mwyach yn Abram, ond yn Abraham, gan imi dy wneud yn dad i lu o genhedloedd. 
GEN.17.6	Gwnaf di'n ffrwythlon iawn; a gwnaf genhedloedd ohonot, a daw brenhinoedd allan ohonot. 
GEN.17.7	Sefydlaf fy nghyfamod yn gyfamod tragwyddol â thi, ac â'th ddisgynyddion ar dy ôl dros eu cenedlaethau, i fod yn Dduw i ti ac i'th ddisgynyddion ar dy ôl. 
GEN.17.8	A rhoddaf y wlad yr wyt yn crwydro ynddi, sef holl wlad Canaan, yn etifeddiaeth dragwyddol i ti ac i'th ddisgynyddion ar dy ôl, a byddaf yn Dduw iddynt.”
GEN.17.9	Dywedodd Duw wrth Abraham, “Cadw di fy nghyfamod, ti a'th ddisgynyddion ar dy ôl dros eu cenedlaethau. 
GEN.17.10	Dyma fy nghyfamod rhyngof fi a chwi, yr ydych i'w gadw, ti a'th ddisgynyddion ar dy ôl: y mae pob gwryw ohonoch i'w enwaedu. 
GEN.17.11	Enwaedir chwi yng nghnawd eich blaengrwyn, a bydd yn arwydd cyfamod rhyngom. 
GEN.17.12	Dros eich cenedlaethau, fe enwaedir pob gwryw ohonoch sydd yn wyth diwrnod oed, boed wedi ei eni i'r teulu, neu'n ddieithryn heb fod yn un o'th ddisgynyddion, ond a brynwyd ag arian. 
GEN.17.13	Rhaid enwaedu'r sawl a enir i'r teulu, a'r sawl a brynir â'th arian; a bydd fy nghyfamod yn eich cnawd yn gyfamod tragwyddol. 
GEN.17.14	Y mae unrhyw wryw dienwaededig nad enwaedwyd cnawd ei flaengroen, i'w dorri ymaith o blith ei bobl; y mae wedi torri fy nghyfamod.”
GEN.17.15	Dywedodd Duw wrth Abraham, “Ynglŷn â'th wraig Sarai: nid Sarai y gelwir hi, ond Sara fydd ei henw. 
GEN.17.16	Bendithiaf hi, a rhoddaf i ti fab ohoni; ie, bendithiaf hi, a bydd yn fam i genhedloedd, a daw brenhinoedd pobloedd ohoni.” 
GEN.17.17	Ymgrymodd Abraham, ond chwarddodd ynddo'i hun, a dweud, “A enir plentyn i ŵr canmlwydd oed? A fydd Sara'n geni plentyn yn naw deg oed?” 
GEN.17.18	A dywedodd Abraham wrth Dduw, “O na byddai Ismael fyw ger dy fron!” 
GEN.17.19	Ond dywedodd Duw, “Na, bydd dy wraig Sara yn geni iti fab, a gelwi ef Isaac
GEN.17.20	Ynglŷn ag Ismael: yr wyf wedi gwrando arnat, a bendithiaf yntau a'i wneud yn ffrwythlon a'i amlhau'n ddirfawr; bydd yn dad i ddeuddeg tywysog, a gwnaf ef yn genedl fawr. 
GEN.17.21	Ond byddaf yn sefydlu fy nghyfamod ag Isaac, y mab y bydd Sara yn ei eni iti erbyn yr amser yma'r flwyddyn nesaf.” 
GEN.17.22	Wedi iddo orffen llefaru, aeth Duw oddi wrth Abraham.
GEN.17.23	Yna cymerodd Abraham ei fab Ismael, a phawb a anwyd yn ei dŷ neu a brynwyd â'i arian, pob gwryw o deulu Abraham, ac enwaedodd gnawd eu blaengrwyn y diwrnod hwnnw, fel yr oedd Duw wedi dweud wrtho. 
GEN.17.24	Yr oedd Abraham yn naw deg a naw mlwydd oed pan enwaedwyd cnawd ei flaengroen, 
GEN.17.25	a'i fab Ismael yn dair ar ddeg oed pan enwaedwyd cnawd ei flaengroen yntau. 
GEN.17.26	Y diwrnod hwnnw enwaedwyd Abraham a'i fab Ismael; 
GEN.17.27	ac enwaedwyd gydag ef holl ddynion ei dŷ, y rhai a anwyd i'r teulu a phob dieithryn a brynwyd ag arian.
GEN.18.1	Ymddangosodd yr 
GEN.18.2	Cododd ei olwg a gwelodd dri gŵr yn sefyll o'i flaen. Pan welodd hwy, rhedodd o ddrws y babell i'w cyfarfod, ac ymgrymu i'r llawr, 
GEN.18.3	a dweud, “F'arglwydd, os cefais ffafr yn d'olwg, paid â mynd heibio i'th was. 
GEN.18.4	Dyger ychydig ddŵr, a golchwch eich traed a gorffwyso dan y goeden, 
GEN.18.5	a dof finnau â thamaid o fara i'ch cynnal, ac wedyn cewch fynd ymaith; dyna pam yr ydych wedi dod at eich gwas.” Ac meddant, “Gwna fel y dywedaist.” 
GEN.18.6	Brysiodd Abraham i'r babell at Sara, a dweud, “Brysia i estyn tri mesur o flawd peilliaid, tylina ef, a gwna deisennau.” 
GEN.18.7	Yna rhedodd Abraham at y gwartheg, a chymryd llo tyner a da a'i roi i'w was; a brysiodd yntau i'w baratoi. 
GEN.18.8	Cymerodd gaws a llaeth a'r llo yr oedd wedi ei baratoi, a'u gosod o'u blaenau; yna safodd gerllaw o dan y goeden tra oeddent yn bwyta.
GEN.18.9	Gofynasant iddo, “Ble mae dy wraig Sara?” Atebodd yntau, “Dyna hi yn y babell.” 
GEN.18.10	Yna dywedodd yr 
GEN.18.11	Yr oedd Abraham a Sara yn hen, mewn gwth o oedran, ac yr oedd arfer gwragedd wedi peidio i Sara. 
GEN.18.12	Am hynny, chwarddodd Sara ynddi ei hun, a dweud, “Ai wedi imi heneiddio, a'm gŵr hefyd yn hen, y caf hyfrydwch?” 
GEN.18.13	A dywedodd yr 
GEN.18.14	A oes dim yn rhy anodd i'r 
GEN.18.15	Gwadodd Sara iddi chwerthin, oherwydd yr oedd arni ofn. Ond dywedodd ef, “Do, fe chwerddaist.”
GEN.18.16	Pan aeth y gwŷr ymlaen oddi yno, ac edrych i lawr tua Sodom, aeth Abraham gyda hwy i'w hebrwng. 
GEN.18.17	A dywedodd yr 
GEN.18.18	oherwydd yn ddiau daw Abraham yn genedl fawr a chref, a bendithir holl genhedloedd y ddaear ynddo? 
GEN.18.19	Na, fe'i hysbysaf
GEN.18.20	Yna dywedodd yr 
GEN.18.21	disgynnaf i weld a wnaethant yn hollol yn ôl y gŵyn a ddaeth ataf; os na wnaethant, caf wybod.”
GEN.18.22	Pan drodd y gwŷr oddi yno a mynd i gyfeiriad Sodom, yr oedd Abraham yn dal i sefyll gerbron yr 
GEN.18.23	A nesaodd Abraham a dweud, “A wyt yn wir am ddifa'r cyfiawn gyda'r drygionus? 
GEN.18.24	Os ceir hanner cant o rai cyfiawn yn y ddinas, a wyt yn wir am ei dinistrio a pheidio ag arbed y lle er mwyn yr hanner cant cyfiawn sydd yno? 
GEN.18.25	Na foed iti wneud y fath beth, a lladd y cyfiawn gyda'r drygionus, nes bod y cyfiawn yr un fath â'r drygionus. Na ato Duw! Oni wna Barnwr yr holl ddaear farn?” 
GEN.18.26	A dywedodd yr 
GEN.18.27	Atebodd Abraham a dweud, “Dyma fi wedi beiddio llefaru wrth yr 
GEN.18.28	Os bydd pump yn eisiau o'r hanner cant o rai cyfiawn, a ddinistri di'r holl ddinas oherwydd pump?” Dywedodd yntau, “Os caf yno bump a deugain, ni ddinistriaf hi.” 
GEN.18.29	Llefarodd eto wrtho a dweud, “Beth os ceir deugain yno?” Dywedodd yntau, “Nis gwnaf er mwyn y deugain.” 
GEN.18.30	Yna dywedodd, “Na ddigied yr 
GEN.18.31	Yna dywedodd, “Dyma fi wedi beiddio llefaru wrth yr 
GEN.18.32	Yna dywedodd, “Peidied yr 
GEN.18.33	Aeth yr 
GEN.19.1	Daeth y ddau angel i Sodom gyda'r hwyr, tra oedd Lot yn eistedd ym mhorth Sodom. Pan welodd Lot hwy, cododd i'w cyfarfod, ac ymgrymu i'r llawr, 
GEN.19.2	a dweud, “F'arglwyddi, trowch i mewn i dŷ eich gwas dros nos, a golchwch eich traed; yna cewch godi'n fore a mynd ar eich taith.” Dywedasant hwy, “Na, arhoswn heno yn yr heol.” 
GEN.19.3	Ond am iddo erfyn yn daer arnynt, troesant i mewn i'w dŷ; gwnaeth yntau wledd iddynt a phobi bara croyw, a bwytasant. 
GEN.19.4	Ond cyn iddynt fynd i orwedd, amgylchwyd y tŷ gan ddynion Sodom, pawb o bob cwr o'r ddinas, yn hen ac ifanc; 
GEN.19.5	ac yr oeddent yn galw ar Lot, ac yn dweud wrtho, “Ble mae'r gwŷr a ddaeth atat heno? Tyrd â hwy allan atom, inni gael cyfathrach â hwy.” 
GEN.19.6	Aeth Lot i'r drws atynt, a chau'r drws ar ei ôl, 
GEN.19.7	a dywedodd, “Fy mrodyr, peidiwch â gwneud y drwg hwn. 
GEN.19.8	Edrychwch, y mae gennyf ddwy ferch heb gael cyfathrach â gŵr; dof â hwy allan atoch. Cewch wneud iddynt hwy fel y dymunwch, ond peidiwch â gwneud dim i'r gwŷr hyn, gan eu bod wedi dod dan gysgod fy nghronglwyd.” 
GEN.19.9	Ond meddant hwy, “Saf yn ôl! Ai un a ddaeth yma i fyw dros dro sydd i ddatgan barn? Yn awr, gwnawn fwy o niwed i ti nag iddynt hwy.” Yr oedd y dynion yn gwasgu mor drwm ar Lot fel y bu bron iddynt dorri'r drws. 
GEN.19.10	Ond estynnodd y gwŷr eu dwylo, a thynnu Lot atynt i'r tŷ a chau'r drws. 
GEN.19.11	A thrawsant yn ddall y dynion oedd wrth ddrws y tŷ, yn fawr a bach, nes iddynt flino chwilio am y drws.
GEN.19.12	Yna dywedodd y gwŷr wrth Lot, “Pwy arall sydd gennyt yma? Dos â'th feibion-yng-nghyfraith, dy feibion a'th ferched, a phwy bynnag sydd gennyt yn y ddinas, allan o'r lle hwn, 
GEN.19.13	oherwydd yr ydym ar fin ei ddinistrio. Am fod y gŵyn yn fawr yn eu herbyn gerbron yr 
GEN.19.14	Felly aeth Lot allan a dweud wrth ei feibion-yng-nghyfraith, a oedd am briodi ei ferched, “Codwch, ewch allan o'r lle hwn; y mae'r 
GEN.19.15	Ar doriad gwawr, bu'r angylion yn erfyn ar Lot, gan ddweud, “Cod, cymer dy wraig a'r ddwy ferch sydd gyda thi, rhag dy ddifa pan gosbir y ddinas.” 
GEN.19.16	Yr oedd yntau'n oedi, ond gan fod yr 
GEN.19.17	Wedi iddynt eu dwyn allan, dywedodd un, “Dianc am dy einioes; paid ag edrych yn ôl, na sefyllian yn y gwastadedd; dianc i'r mynydd rhag dy ddifa.” 
GEN.19.18	Ac meddai Lot, “Na! Nid felly, f'arglwydd; 
GEN.19.19	dyma dy was wedi cael ffafr yn d'olwg, a gwnaethost drugaredd fawr â mi yn arbed fy einioes; ond ni allaf ddianc i'r mynydd, rhag i'r niwed hwn fy ngoddiweddyd ac imi farw. 
GEN.19.20	Dacw ddinas agos i ffoi iddi, ac un fechan ydyw. Gad imi ddianc yno, imi gael byw; onid un fach yw hi?” 
GEN.19.21	Atebodd yntau, “o'r gorau, caniatâf y dymuniad hwn hefyd, ac ni ddinistriaf y ddinas a grybwyllaist. 
GEN.19.22	Dianc yno ar frys; oherwydd ni allaf wneud dim nes i ti gyrraedd yno.” Am hynny, galwyd y ddinas Soar
GEN.19.23	Erbyn i Lot gyrraedd Soar, yr oedd yr haul wedi codi dros y tir; 
GEN.19.24	yna glawiodd yr 
GEN.19.25	Dinistriodd y dinasoedd hynny a'r holl wastadedd, a holl drigolion y dinasoedd, a chynnyrch y pridd. 
GEN.19.26	Ond yr oedd gwraig Lot wedi edrych yn ei hôl, a throdd yn golofn halen.
GEN.19.27	Aeth Abraham yn y bore bach i'r fan lle'r oedd wedi sefyll gerbron yr 
GEN.19.28	ac edrychodd i lawr ar Sodom a Gomorra ac ar holl dir y gwastadedd, a gwelodd fwg yn codi o'r tir fel mwg o ffwrn. 
GEN.19.29	Felly pan oedd Duw'n dinistrio dinasoedd y gwastadedd, yr oedd wedi cofio am Abraham, a phan oedd yn dinistrio'r dinasoedd y bu Lot yn trigo ynddynt, gyrrodd Lot allan o ganol y dinistr.
GEN.19.30	Yna aeth Lot i fyny o Soar i fyw yn y mynydd-dir gyda'i ddwy ferch, oherwydd yr oedd arno ofn aros yn Soar; a bu'n byw mewn ogof gyda'i ddwy ferch. 
GEN.19.31	Dywedodd yr hynaf wrth yr ieuengaf, “Y mae ein tad yn hen, ac nid oes ŵr yn y byd i ddod atom yn ôl arfer yr holl ddaear. 
GEN.19.32	Tyrd, rhown win i'n tad i'w yfed, a gorweddwn gydag ef, er mwyn inni gael epil o'n tad.” 
GEN.19.33	Felly y noson honno rhoesant win i'w tad i'w yfed; a daeth yr hynaf a gorwedd gyda'i thad, ac ni wyddai ef ddim pryd y gorweddodd hi, na phryd y cododd. 
GEN.19.34	Trannoeth dywedodd yr hynaf wrth yr ieuengaf, “Dyna fi wedi gorwedd gyda'm tad neithiwr; gad inni roi gwin iddo i'w yfed eto heno, a dos dithau i orwedd gydag ef, er mwyn inni gael epil o'n tad.” 
GEN.19.35	Felly rhoesant win i'w tad i'w yfed y noson honno hefyd; ac aeth yr ieuengaf i orwedd gydag ef, ac ni wyddai ef ddim pryd y gorweddodd hi, na phryd y cododd. 
GEN.19.36	Felly y beichiogodd dwy ferch Lot o'u tad. 
GEN.19.37	Esgorodd yr hynaf ar fab, a'i enwi Moab; ef yw tad y Moabiaid presennol. 
GEN.19.38	Esgorodd yr ieuengaf hefyd ar fab, a'i enwi Ben-ammi; ef yw tad yr Ammoniaid presennol.
GEN.20.1	Ymdeithiodd Abraham oddi yno i ardal y Negef, a byw rhwng Cades a Sur. Arhosodd dros dro yn Gerar, 
GEN.20.2	ac yno dywedodd Abraham am ei wraig Sara, “Fy chwaer yw hi”; ac anfonodd Abimelech brenin Gerar am Sara, a'i chymryd. 
GEN.20.3	Ond daeth Duw at Abimelech mewn breuddwyd nos, a dweud wrtho, “Fe fyddi farw o achos y wraig a gymeraist, oherwydd gwraig briod yw hi.” 
GEN.20.4	Ond nid oedd Abimelech wedi nesáu ati; a dywedodd, “
GEN.20.5	Oni ddywedodd ef wrthyf, ‘Fy chwaer yw hi’, a hithau, ‘Fy mrawd yw ef’? Gwneuthum hyn â chydwybod dawel a dwylo glân.” 
GEN.20.6	Yna dywedodd Duw wrtho yn y freuddwyd, “Mi wn iti wneud hyn â chydwybod dawel; cedwais innau di rhag pechu yn f'erbyn, a dyna pam na adewais iti ei chyffwrdd. 
GEN.20.7	Yn awr, rho'r wraig yn ôl i'w gŵr, oherwydd proffwyd yw ac fe weddïa trosot, fel y byddi fyw. Ond os na roi hi'n ôl, deall di y byddi'n siŵr o farw, ti a'th dylwyth.”
GEN.20.8	Cododd Abimelech yn fore, a galw ei holl weision a dweud wrthynt am yr holl bethau hyn; a chafodd y dynion fraw mawr. 
GEN.20.9	Yna galwodd Abimelech am Abraham a dweud wrtho, “Beth a wnaethost i ni? Sut yr wyf fi wedi pechu yn dy erbyn, i beri iti ddwyn pechod mawr arnaf fi a'm teyrnas? Yr wyt wedi gwneud pethau i mi na ddylid eu gwneud.” 
GEN.20.10	Dywedodd Abimelech ymhellach wrth Abraham, “Beth oedd yn dy feddwl wrth wneud y peth hwn?” 
GEN.20.11	Atebodd Abraham, “Mi feddyliais nad oedd neb yn ofni Duw yn y lle hwn, ac y byddent yn fy lladd o achos fy ngwraig. 
GEN.20.12	Ac yn wir, fy chwaer yw hi, merch fy nhad, ond nid merch fy mam; a daeth yn wraig i mi. 
GEN.20.13	A phan barodd Duw imi adael tŷ fy nhad, dywedais wrthi, ‘Mynnaf y gymwynas hon gennyt: i ble bynnag yr awn, dywed amdanaf, “Fy mrawd yw ef”.’ ” 
GEN.20.14	Yna cymerodd Abimelech ddefaid, ychen, gweision a morynion, a'u rhoi i Abraham, a rhoes ei wraig Sara yn ôl iddo. 
GEN.20.15	A dywedodd Abimelech, “Dyma fy ngwlad o'th flaen; cei fyw lle bynnag y dymuni.” 
GEN.20.16	A dywedodd wrth Sara, “Dyma fi wedi rhoi i'th frawd fil o ddarnau arian; bydd hyn yn dy glirio ac yn dy gyfiawnhau'n llwyr yng ngŵydd pawb sydd gyda thi.
GEN.20.17	Yna gweddïodd Abraham ar Dduw, ac iachaodd Duw Abimelech a'i wraig a'i forynion; a chawsant blant. 
GEN.20.18	Oherwydd yr oedd yr 
GEN.21.1	Ymwelodd yr 
GEN.21.2	Beichiogodd Sara a geni mab i Abraham yn ei henaint, ar yr union adeg a ddywedodd Duw wrtho. 
GEN.21.3	Rhoes Abraham i'r mab a anwyd iddo o Sara yr enw Isaac; 
GEN.21.4	ac enwaedodd Abraham ei fab Isaac yn wyth diwrnod oed, fel yr oedd Duw wedi gorchymyn iddo. 
GEN.21.5	Yr oedd Abraham yn gant oed pan anwyd iddo ei fab Isaac. 
GEN.21.6	A dywedodd Sara, “Parodd Duw imi chwerthin;
GEN.21.7	Dywedodd hefyd, “Pwy fuasai wedi dweud wrth Abraham y rhoddai Sara sugn i blant? Eto mi enais fab iddo yn ei henaint.”
GEN.21.8	Tyfodd y bachgen, a diddyfnwyd ef; ac ar ddiwrnod diddyfnu Isaac, gwnaeth Abraham wledd fawr. 
GEN.21.9	Ond gwelodd Sara y mab a ddygodd Hagar yr Eifftes i Abraham yn chwarae gyda'i mab Isaac
GEN.21.10	A dywedodd wrth Abraham, “Gyrr allan y gaethferch hon a'i mab; oherwydd ni chaiff mab y gaethferch hon gydetifeddu â'm mab i, Isaac.” 
GEN.21.11	Yr oedd hyn yn atgas iawn gan Abraham o achos ei fab; 
GEN.21.12	ond dywedodd Duw wrth Abraham, “Paid â phoeni am y llanc a'th gaethferch; gwna bopeth a ddywed Sara wrthyt, oherwydd trwy Isaac y cedwir dy linach. 
GEN.21.13	Gwnaf fab y gaethferch hefyd yn genedl, am ei fod yn blentyn i ti.” 
GEN.21.14	Yna cododd Abraham yn fore, a chymerodd fara a chostrel o ddŵr a'u rhoi i Hagar, a'u gosod hwy a'r bachgen ar ei hysgwydd, a'i hanfon ymaith. Aeth hithau i grwydro yn niffeithwch Beerseba. 
GEN.21.15	Pan oedd y dŵr yn y gostrel wedi darfod, gosododd y bachgen i lawr dan un o'r llwyni, 
GEN.21.16	ac aeth i eistedd bellter ergyd bwa oddi wrtho, gan ddweud, “Ni allaf edrych ar y bachgen yn marw.” Fel yr oedd yn eistedd bellter oddi wrtho, cododd y bachgen ei lais
GEN.21.17	Clywodd Duw lais y plentyn, a galwodd angel Duw o'r nef ar Hagar a dweud wrthi, “Beth sy'n dy boeni, Hagar? Paid ag ofni, oherwydd y mae Duw wedi clywed llais y plentyn o'r lle y mae. 
GEN.21.18	Cod, cymer y plentyn a gafael amdano, oherwydd gwnaf ef yn genedl fawr.” 
GEN.21.19	Yna agorodd Duw ei llygaid, a gwelodd bydew dŵr; aeth hithau i lenwi'r gostrel â dŵr a rhoi diod i'r plentyn. 
GEN.21.20	Bu Duw gyda'r plentyn, a thyfodd; bu'n byw yn y diffeithwch, a daeth yn saethwr bwa. 
GEN.21.21	Yr oedd yn byw yn niffeithwch Paran, a chymerodd ei fam wraig iddo o wlad yr Aifft.
GEN.21.22	Yr amser hwnnw, dywedodd Abimelech a Phichol pennaeth ei fyddin wrth Abraham, “Y mae Duw gyda thi ym mhopeth yr wyt yn ei wneud; 
GEN.21.23	yn awr, dos ar dy lw yn enw Duw i mi yma, na fyddi'n anffyddlon i mi, nac i'm plant, nac i'm hwyrion; ond fel yr wyf fi wedi bod yn deyrngar i ti, bydd dithau i minnau ac i'r wlad yr wyt wedi ymdeithio ynddi.” 
GEN.21.24	A dywedodd Abraham, “Mi af ar fy llw.”
GEN.21.25	Pan geryddodd Abraham Abimelech am y pydew dŵr yr oedd gweision Abimelech wedi ei gymryd trwy drais, 
GEN.21.26	dywedodd Abimelech, “Ni wn i ddim pwy a wnaeth hyn; ni ddywedaist wrthyf, ac ni chlywais i sôn am y peth cyn heddiw.” 
GEN.21.27	Yna cymerodd Abraham ddefaid ac ychen, a'u rhoi i Abimelech, a gwnaethant ill dau gyfamod. 
GEN.21.28	Gosododd Abraham o'r neilltu saith hesbin o'r praidd. 
GEN.21.29	A gofynnodd Abimelech i Abraham, “Beth yw'r saith hesbin hyn yr wyt wedi eu gosod o'r neilltu?” 
GEN.21.30	Dywedodd yntau, “Wrth gymryd y saith hesbin gennyf, byddi'n cydnabod mai myfi a gloddiodd y pydew hwn.” 
GEN.21.31	Am hynny galwyd y lle hwnnw Beerseba
GEN.21.32	Wedi iddynt wneud cyfamod yn Beerseba, cododd Abimelech a Phichol pennaeth ei fyddin, a dychwelyd i wlad y Philistiaid. 
GEN.21.33	Plannodd Abraham goeden tamarisg yn Beerseba, a galwodd yno ar enw'r 
GEN.21.34	A bu Abraham yn aros am amser hir yng ngwlad y Philistiaid.
