MRK.1.1	Ine a kamkamna ana Wakak a Warwara o e Iesu Karisito, a Nat e God. 
MRK.5.32	Ika e Iesu i tatatai taltal sur esining i tuk tari. 
MRK.5.33	A hane ning i matmataut, pa i koloron, anasa i tasman a utna ning i hanot ono. I han tetek e Iesu, i punga na wurwur salanigo tana, pa i atong puasa a utna ning ka tol tari. 
MRK.5.34	Pa e Iesu i atai i mang, “Natuk, anum a tortorot ka alangolango pas u. Ur han taum ana balmolmol, anum a tinsaman ka rop.”
MRK.5.35	Kaning ot e Iesu i warwara, dingla na tarai la hanot miting na rumai ane Jairus, pa la atai i mang, “Sur asa ning u amolot a Tena Asaer? Natum hane ka mat.”
MRK.5.36	E Iesu bel i pos balana ana warwara ning, i atai ka e Jairus mang, “Gong u matmataut. Ur tortorot ka.” 
MRK.5.37	Bel i malmaling pas tik sur ir muri, ika i ben pas e Pita, e Jems ditas ma e Jon. 
MRK.5.38	Pa ning la hanot ting na rumai ane Jairus, e Iesu i longor a totbor, pa aregaia na tintinangis. 
MRK.5.39	I kas pa i atai la mange, “A totbor pa tintinangis na sa ining? A kaklik ne bel i mat, i borbor duman ka.” 
MRK.5.40	La malani ka. I sune purum la rop, i ben pas a tamana kaklik pa e tana, pa ditol otleng ning ditol han taum ono, pa la kas tetek a kaklik. 
MRK.5.41	E Iesu i tong pas a kuna kaklik hane ning, pa i atai i mange, “Talita koum!” A kamkama warwara ne, “Hanelik, a atai u, ur kamtur.” 
MRK.5.42	Aiapka i kamtur pa i han taltal. A hanelik ning ka takai a bonot pa pisir naur a rau anunai. Pa la kulkulan kol. 
MRK.5.43	E Iesu i sairas rakrakai tar la sur gong la warwara ana utna ne. Pa i atai la sur lar tabar a hanelik ning.
MRK.6.1	E Iesu taum ana nuna kakak a asasaer la han mitingia pa la hanot ting na hanua ane Iesu. 
MRK.6.2	Ana Pukakiar Sabat i asaer a tarai la ting na rumai lotu, pa a galis a tarai ning la longori la kulkulan kol, pa la kabah mang, “A barsan ne i los pas a tastasmanla ne taha? Esi na ngas a tastasman ning di ka saran tari tana sur ir tol a tatatnan utna na kulkulan? 
MRK.6.3	I a tena tol rumai ka, a nat e Maria. Na tastasna otleng, e Jems, e Josep, e Judas pa e Saimon, pa na tastasna hane kanet dala laun taum te.” Pa bel ma la gas ono. 
MRK.6.4	E Iesu i atai la mang, “Di hanrawai a propet ting na hanua masik, ma ika la ot ting na hanua ngasna, na mainala pa la ot ting na rumai ngasna bel la hanrawai i.” 
MRK.6.5	E Iesu bel i tolsot pas al galis a utna na kulkulan tingia, ika i sua naur a kuna ana dingla na tinsaman, pa i alangolango pas la. 
MRK.6.6	Pa e Iesu i kulkulan mang bel la tortorot ono.
MRK.6.6	Lamur e Iesu i han taltal ting na hanhanuala pa i asaer a taraila. 
MRK.6.7	I kabah pas ning a bonot pa pisir naur a kakak a asasaerla, pa i sune naunaur on la, pa i saran tar a rakrakai tan la sur lar kepsen a motla. 
MRK.6.8	I atai la mang, “Gong mulo los tar al utna ana numulo na tinan, mulo los ka a bulse. Gong mulo los al utna na hangan, gong ta bek pa gong mulo los tar al mani ting na bak. 
MRK.6.9	Mulor han ka ana su ting na ham mulo, pa gong mulo los al kelkeles.” 
MRK.6.10	I atai la otleng mange, “Ning mulor kes ting ana ta rumai, mulor kes ot tingia tuk ana pukakiar ning mulor han kusun a hanua ning. 
MRK.6.11	Ning ta hanua bel lar gasgas pas mulo, pa bel lar longor anumulo na warwarala, ning mulor han kusun a hanua ning, mulor daplan sen a kubus kusun a ham mulo, lar a akinalang na wetewete tetek la.”
MRK.6.12	Pa la han pa la warawai tetek a taraila sur lar lingir a nuknukinla. 
MRK.6.13	La kepsen a galis a mot, la sabar a galis a tinsaman ana wel, pa la alangolango pas la.
MRK.6.14	King Herot i longor a warwara o e Iesu, anasa a tarai la rop la ka tasman e Iesu. Dingla la atongi ono mang, “A barsan ne i ka e Jon a Tena Baptais, ka laun ulak kusun a minat sur i maining i tol a ututnala na kulkulan ne.” 
MRK.6.15	Dingla la mang, “Ai e Elaija.” Dingla otleng la atongi ono mang, “E Iesu i ning a propet arlar ana propetla tagun nating.” 
MRK.6.16	Ika ning e Herot i longor a ututnala ne o e Iesu, i atongi mange, “Ia ka umsem tar a pukul e Jon, pa ne ka laun ulak kusun a minat!”
MRK.6.17+MRK.6.18	Lanigo e Herot i sune anuna tena harumla pa la tong pas e Jon, la dot pasi pa la akasi ting na rumai dodot, anasa e Jon i usuri o e Herot mang, “Bel i tostos ning u taulai e Herodias, e harimlik.”
MRK.6.17+MRK.6.18	E Jon i atongi larne anasa e Herot i dat pas e Herodias, a hane anune Pilip e tasnalik, pa i taulai i. 
MRK.6.19	E Herodias i nget e Jon pa i mang sur dir umkoli anasa i warwara on diau ana nundiau a tinaulai. Bel i tolsot pasi sur ir umkoli, 
MRK.6.20	anasa e Herot i matatan e Jon, pa i tasmani mang i a wakak a barsan pa a tena tostos. Pa e Herot i tai alar e Jon. I gas sur ir longor anuna na warwara, maika i loklokron a nuknukna ono.
MRK.6.21	E Herot i nuk pas a pukakiar ning di agoni ono, pa i tol a tnan ngasa. Io, e Herodias i nuk pas ning a ngas sur dir umkol e Jon. E Herot i tol a tnan ngasa sur a ningnigola tagun anuna matanitu, pa a ningnigola anuna tena harumla, pa ningnigola mitisa e Galili. 
MRK.6.22	Ning la kes ana ngasa, e nat na hane Herodias i kas pa i tortor tan la. E Herot pa a taraila ning la hangan taum ano, la gas kol ono. Pa i atai a basbas ning mange, “Ar tabar u ana ta utna ning ur mang suri tak.” 
MRK.6.23	Pa i lele rakrakai tana mange, “Asa kama ning ur nunung iau suri ar sarani tam. Ning ur nunung iau sur ta tuk a matanitu ar sarani ka.” 
MRK.6.24	Pa i han tetek e tana pa i dekeni mang, “Asa ning ar nunung suri?” E tana i kelesi mang, “Ur nunungi sur a pukul e Jon a Tena Baptais.” 
MRK.6.25	Aiapiapka a basbas ning i kas tektek e King Herot, pa i atai i mange, “Ano otne ur sua a pukul e Jon a Tena Baptais ana ta pelet pa ur tabar iau ono.”
MRK.6.26	A king i nuk lingiri. Ika bel ma i tolsot sur ir ngongoio, anasa ka lele tar mang asa kama ning ir nunung suri, ir sarani ot, pa a tarai ning la kes taum ano ana ngasa, la ka longor tar anuna warwara. 
MRK.6.27	I sune kapit ning a tena harum sur ir los tar a pukul e Jon teteki. A tena harum i kas uting na rumai dodot, pa i umsem pas a pukul e Jon. 
MRK.6.28	I sua pasi ana pelet pa i losi tetek a basbas ning, pa i sarani ta e tana. 
MRK.6.29	Pa ning a kakak a asasaerla ane Jon la longori, la hanot pa la los pas a minatna pa la akasi ting na kulam a minat.
MRK.6.30	Pa a aposella, la atalilis pas e Iesu, pa la atai i ana ututna rop ning la ka tol tari, pa la ka asaer tar a taraila ono. 
MRK.6.31	Pa e Iesu i atai la, “Mulo lamut, dalar han sur a hanua bel, sur mulor manah pas.” I atongi larne anasa a galis a tarai la hananot, pa bel ta pukakiar sur e Iesu pa nuna aposella lar hangan ono. 
MRK.6.32	Pa la kas ana mon pa la han uting na hanua bel. 
MRK.6.33	A galis a tarai ning la oroi pas a mon, la oroi lalan pas e Iesu taum ana nuna kakak a asasaerla. La dun kusun a hanhanuala, pa la nigo ot ting na pukna ning lar sot ono. 
MRK.6.34	Ning e Iesu i sot tingia, i oroi a tnan kunum a taraila. I maris kol la, anasa la arlar ana sipsipla ning bel anun la ta tena tai alar. Pa i turpasi sur ir asaer la ana galis a ututnala. 
MRK.6.35	Ning ka rah anuna kakak a asasaer la han tekteki, pa la atai i mange, “A hanua bel ka ine, pa ka rah otleng. 
MRK.6.36	Ur sune sen a taraila ne sur lar han uting anal hanhanua milau, pa tatatnan hanua otleng sur lar lou pas al utna na hangan sur lar ieni.”
MRK.6.37	E Iesu i keles la mange, “Mulo ot mulor tabar la.” La atai i mang, “Ning milar titol al galis a kalang a mani ning milar kubasi, bel ir tolsot sur dalar lolou tabar la ono.” 
MRK.6.38	E Iesu i deken la mang, “Naisa bret kaning mulo losi? Mulor han pa mulor tai.” Ning la ka talapor pas, la atai e Iesu mang, “Dilima na bret pa naur a sis.”
MRK.6.39	Pa e Iesu i sune anuna kakak a asasaerla sur lar atai a taraila, sur lar kes ana taktakai kunum ting na ulai. 
MRK.6.40	Pa la kes ana taktakai kunum, dingla na kunum taktakai a mar, pa dingla dildilima na bonot. 
MRK.6.41	Pa e Iesu i los pas dilima na bret pa naur a sis, i tadai usaot na langit, i atong wakak tetek e God ono. I kibik pas dilima na bret ning, pa i sarani tana nuna kakak a asasaerla sur lar tabar a taraila ono. I tabar la otleng ana naur a sis. 
MRK.6.42	La rop la hangan pa la masur. 
MRK.6.43	Pa la song bukus pas ning a bonot pa pisir naur a rat ana mah na bret pa sis. 
MRK.6.44	A tarai galis kol, maika a wawas ana barsanla ka i arlar ana dilima na arip.
MRK.6.45	Aiapiap ka e Iesu i sune sen anuna kakak a asasaerla sur lar kas ana mon pa lar nigo utumo e Betsaida ting na ris a puka tasi. Pa i, i kes ot sur ir sune sen a taraila. 
MRK.6.46	Ning a tarai la ka han sarara, e Iesu i han usaot na mangir sur ir nunung. 
MRK.6.47	Ning ka sirtektek, a mon i han potor a puka tasi, pa e Iesu kama i kes tumokorot latasi. 
MRK.6.48	E Iesu i oroi la mang ka tekes la ana ulusu, anasa a kabakup i harum misa lanigo. Ana lar, e Iesu i han saot na palai a puka tasi tetek la. Pa siklik ir han bolos la. 
MRK.6.49	Ning la oroi pasi ning i han saot na palai a puka tasi, la nuki mang a mot, pa la kukukuk, 
MRK.6.50	anasa la rop la oroi, pa la matmataut kol. Pa e Iesu i warwara kapit tetek la mang, “A balamulo ir talapor. Gong mulo matmataut, iau kane.” 
MRK.6.51	Ning e Iesu ka kas tetek la uting na mon, a kabakup i rop kakat. Pa la kulkulan kol, 
MRK.6.52	anasa bel la tastasman wakak ana utna na kulkulan ning e Iesu ka tol tari ana dilima na bret pa naur a sis. Anasa bel la mang sur lar kubasi.
MRK.6.53	Ning la ka han bolos, la sot tumo e Genesaret ana ris a puka tasi pa la dot akes tar a mon. 
MRK.6.54	Ning la purum kusun a mon, a tarai la oroi lalan kapit pas e Iesu. 
MRK.6.55	La dun sur a tinsamanla ting ana hanhanua rop ana papar ning. Pa ning la longori mang e Iesu kaning i kes ting ana ta hanua, la los a tinsamanla ana logola sur a hanua ning. 
MRK.6.56	Ana natnatar a hanhanua pa tatatnan hanhanua ning e Iesu i han ia, la aborbor a tinsamanla ting na arpotor a hanua. Pa tinsamanla la nunung e Iesu sur lar tuk tar ka a tuka kaen anunai. La rop ning la tuk tari la langolango.
MRK.7.1	A Parisaiola taum ana tena asaerla tagun a Warkurai mitisa e Jerusalem, la han taum tetek e Iesu, 
MRK.7.2	pa la oroi dingla na kakak a asasaer ane Iesu, la hangan ka ana dur a kunla, anasa bel la gos kunla. 
MRK.7.3	A Parisaiola pa a tarai Juda rop la murmur a warwara ana tarai turturaila, sur bel lar hangan ning bel la gos kunla. 
MRK.7.4	Ning la ulak miting na pukna na sisiurai, lar gogos nigo pas ot lamur lar hangan. Galis a utna otleng lar toli, lar gos a kapla, a kurola pa a tikerla. 
MRK.7.5	A Parisaiola pa tena asaerla tagun a Warkurai la deken e Iesu mang, “Sur asa ning anum a kakak a asasaerla bel la mur a toltol anuna tarai turturaila? La hangan ka ana dur a kunla.” 
MRK.7.6	Pa e Iesu i keles la mange, “A momolna ot ning, e Aisaia ka warwara na propet o mulo a tena asasongola mang,
MRK.7.6	‘A taraila ne la hanrawai iau ka ana pahanla,
MRK.7.6	ika a balanla i bakbak kol kusun iau.
MRK.7.7	La lotu oros ka tetek iau,
MRK.7.7	anasa la asaer a taraila ana warkuraila anuna taraila ka.’
MRK.7.8	Mulo ka han kusun tar a Warkuraila ane God, pa mulo mur kama asasaer anuna taraila.”
MRK.7.9	Pa e Iesu i atai la mange, “A momolna ot, mulo longor orsan a warwara ane God, sur mulor mur a asasaerla anuna numulo na tarai turturaila. 
MRK.7.10	E Moses i atongi mange, ‘Ur hanrawai e tamam pa etnam.’ Pa i atongi otleng mang, ‘Ning tik ir atong saksakan e tamana pa e tana dir umkoli.’ 
MRK.7.11	Ika mulo, mulo asaer a taraila mang, i wakak ka ning tik ir atai e tamana pa e tana mang, ‘A utna ning ar nangan mu ano, ia ka tabar tar e God ano.’ 
MRK.7.12	Ana asasaer ning, mulo sairasi sur gong i nangan e tamana pa e tana. 
MRK.7.13	Ning mulo toli larne, mulo anatarna sen a warwara ane God, pa mulo mur ot a asasaerla ning mulo losi tana numulo na tarai turturaila. Pa a galis a ututna otleng larne ning bel i tostos mulo toli.”
MRK.7.14	E Iesu i kabah ulak a taraila teteki, pa i atai la mang, “Mulo rop mulor longor iau, pa mulor tasman lalan anuka warwara. 
MRK.7.15+MRK.7.16	Ta utna ning tik ir ien pasi pa i kas ting na balana, bel ir aduri na matana e God. Ika a ututnala ning i purum kusun a nuknukna, i ning ir aduri na matana e God”.
MRK.7.17	Ning e Iesu i han kusun a kunum a taraila, pa i kas uting ui na rumai, anuna kakak a asasaer la dekeni ana warwara larlar ne. 
MRK.7.18	Pa i atai la mange, “Bel mulo tastasman? Bel mulo oroi mang a ututna rop ning ir kas ting na balan tik, bel ir aduri na matana e God? 
MRK.7.19	Anasa bel i kas uting na nuknukna, i kas ka uting na balana pa ir kepseni.”
MRK.7.19	Ning i atong a warwara ne, i atong talapori mang a utna na hangan rop i wakak. 
MRK.7.20	I atongi otleng mange, “A utna ning i purum pas miting na nuknukin tik, i ning ir aduri. 
MRK.7.21	Ine a ututnala ning ir hanot miting na nuknukin a tarai: A nuknuk laulau, a toltol a pamuk, a kinkinau, umkol a mainla, dat pas a hane anuna ta mainla masik, 
MRK.7.22	a toltol amuk, a laulau aginina, a asasongo, toltol na tintaulai pa bel ta meme ono, ram sur a ututnala, a warwara laulau tana tik, i aitna pasi pa dat abara a pukulna. 
MRK.7.23	A ututna laulaula rop ne la hanot miting na nuknukin na taraila, pa ir adur la.”
MRK.7.24	E Iesu i han kusun a hanua ning, pa i hanot milau a hanua Tair. I kas uting na ning a rumai. Bel i mang sur tik ir tasmani, ika bel i tolsot sur ir mumun. 
MRK.7.25	Ning a hane, a natna hane a mot kaning ono. Ning i longor a warwara o e Iesu, aiapka i han pa i punga tuntudu salanigo ta e Iesu. 
MRK.7.26	A hane ning, i a hane Ponisia miting na papar Siria, belsur a hane Juda. I nunung e Iesu sur ir kepsen a mot kusun e natnalik.
MRK.7.27	Pa e Iesu i atai i mang, “Dir tabar masur nigon a kakakla. Bel i tostos sur dir los pas a utna na hangan ana kakakla pa dir tabar a papla ono.” 
MRK.7.28	Pa a hane i kelesi mang, “A momolna ot Leklek, ika a papla otleng ting na hailogo, la sira ien a mumut a utna na hangan ana kakakla.”
MRK.7.29	Pa e Iesu i atai i mange, “Ana num a wakak a arkeles, ur han ka, a mot ka purum tar kusun e natumlik.” 
MRK.7.30	Ning a hane i ulak, i oroi e natnalik, kaning i borbor tar ting na logo ngasna. A mot ka purum kusuni.
MRK.7.31	E Iesu i han kusun a hanua Tair pa i han potor e Saidon sur a puka tasi Galili, pa i hanot ting na papar Dekapolis.
MRK.7.32	A tarai la ben pas ning a barsan a talnganakutkut tetek e Iesu, pa la nunungi sur ir sua a kuna ono. 
MRK.7.33	E Iesu i ben masik pasi kusun a kunum a tarai, pa i sua naur a pitlai kuna ting na naur a talngana barsan ning. Lamur i namis pas, pa i tong a laigerem a barsan ning. 
MRK.7.34	I tadai usaot na langit, i los wuwu pas, pa i atai i mang, “Epata!” A kamkamna mange: “Ur Sapang!” 
MRK.7.35	Pa a talngana i talapor, a laigeremna i tapalas pa i warwara talapor kakat. 
MRK.7.36	Pa e Iesu i sairas rakrakai a taraila sur gong la atai tar tik ono. Ika ning i sairas la, bel la longor pasi, a warwara ono i han sarara ka. 
MRK.7.37	La ning la longor a utna ne, la kulkulan kol ono, pa la atongi larne, “E Iesu i tol wakak pas a ututna rop. I awakak pas a talnganakutkutla sur lar longor, pa a ngatlaula sur lar warwara!”
MRK.8.1	Na tinine pukakiarla ning, a tnan kunum a tarai la hanot taum, pa belal utna na hangan sur lar ieni. E Iesu i kabah pas anuna kakak a asasaerla teteki pa i atai la mang, 
MRK.8.2	“A maris kol a taraila ne, ning la ka kes taum on dala te natol a pukakiar, pa belal utna na hangan ning lar ieni. 
MRK.8.3	Ning ar sune sen la sur anunla na hanhanua taum ana munurak, lar matpalpal amon ka ting na ngas, anasa dingla on la, la hanot miting na bakbak.”
MRK.8.4	Anuna kakak a asasaer la dekeni mang, “Mitaha al utna na hangan sur dalar tabar la ono? Anasa a hanua bel ka ine.” 
MRK.8.5	E Iesu i deken la mang, “Naisa bret ning mulo losi?” La kelesi mange, “Dionomahis ka.”
MRK.8.6	E Iesu i sune a tarai la rop sur lar kes ting lapiu. I kubas pas dionomahis a bret, i atong wakak pas onoi tetek e God, i kibiki pa i sarani tana anuna kakak a asasaerla, sur lar tabar a taraila ono. Pa a kakak a asasaer la toli ot larning. 
MRK.8.7	La los pas naisa na natnatara sis otleng, pa i atong wakak pas ono, pa i sarani sur lar asaurani tana taraila. 
MRK.8.8	A tarai la hangan pa la masur. Lamur a kakak a asasaer la song bukus pas dionomahis a rat ana mah a utna na hangan. 
MRK.8.9	A gurarala taum ana kakakla pa a taraila, la rop la hangan. A wawas ka ana barsanla i arlar ana diat arip. Pa lamur e Iesu i sune sen la. 
MRK.8.10	E Iesu taum ana nuna kakak a asasaer la kas ting na mon, pa la han sur a papar Dalmanuta.
MRK.8.11	A Parisaiola la hanot tetek e Iesu pa la arlak na warwara tataum ono. La mang sur lar toho i. La nunungi sur ir tol ta utna na kulkulan sur ir asangani mang ai mitisaot na langit. 
MRK.8.12	E Iesu i ngoro pa i mang, “Sur asa a taun tarai ne la nunung sur ar tol ta akinalang? A atong momoli ta mulo, bel dir tol ta akinalang ta mulo.” 
MRK.8.13	Pa i kas ulak ana mon, pa la han kusun la utumo na ris a puka tasi.
MRK.8.14	A kakak a asasaer la dumani sur lar los al bret, takai sot ning la losi ting na mon. 
MRK.8.15	Pa e Iesu i warwara na wetewete tetek la mang, “Mulor wetewete ana is anuna Parisaiola pa e Herot.” 
MRK.8.16	Pa la warwara taum ana kamkama warwara ane Iesu, pa la atongi mang, “I atongi larning, anasa belal bret andalai.” 
MRK.8.17	E Iesu i tasman anunla warwara pa i atai la mang, “I mangasa ning mulo atongi manga belal bret? Bel mulo tasmani, pa belot mulo talapor? I mangmangasa ning mulo tagar a nuknukimulo sur gong mulo kubas anuk na asasaerla? 
MRK.8.18	A matamulo i kes, ika bel mulo tai ono. A talngamulo kaning ika bel mulo longor ono. Mulor nuk pasi: 
MRK.8.19	Ning a kibik dilima na bret tetek dilima na arip na barsanla, naisa rat ning mulo song pasi ana mah a utna na hangan?” La kelesi mange, “Ning a bonot pa pisir naur.”
MRK.8.20	Pa e Iesu i deken la mange, “Ning a kibik dionomahis a bret tetek diat arip a barsanla, naisa na rat ning mulo song pasi ana mah a utna na hangan?” La kelesi mange, “Dionomahis a rat.” 
MRK.8.21	Pa i deken la mang, “Belot mulo talapor?”
MRK.8.22	E Iesu taum ana kakak a asasaerla anunai la hanot tisa e Betsaida, pa a tarai la ben pas ning a matanakut teteki, pa la nunungi sur ir sua a kuna saot ono sur ir tai. 
MRK.8.23	I tong pas a kuna kut, pa i ben maskani kusun a hanua. Ning ka namis tar naur a matana pa ka sua tar naur a kuna ono, i dekeni mang, “U ka oroi ta utna?” 
MRK.8.24	Pa a barsan ning i tai tostos, pa i atongi mang, “A oroi a tarai lar a rakaila ning la han.” 
MRK.8.25	E Iesu i sua ulak naur a kuna ona matanakut, pa a matana i talapor wakak bot, pa i oroi a utnala rop. 
MRK.8.26	E Iesu i sune sen a barsan ning, pa i atai i mang, “Ur han tostos sur anum a rumai. Gong u han ting na tinine hanua.”
MRK.8.27	E Iesu taum ana nuna kakak a asasaer la han uting na hanhanua milau Sisaria Pilipai. Ning la han amon, i deken la mang, “A tarai la atongi mang iau esi?”
MRK.8.28	La kelesi mang, “Dingla la atongi mang u e Jon a Tena Baptais. Dingla la atongi mang u e Elaija, pa dingla otleng la mang u ning a halna dingla na propet.” 
MRK.8.29	Pa i deken la mang, “Pa mulo ot mulo atongi mang iau esi?” Pa e Pita i kelesi mang, “U a Mesaia ning e God i sune sen u ute.” 
MRK.8.30	Pa i sairas la mang gong la atai tar tik onoi.
MRK.8.31	E Iesu i turpasi sur ir asaer anuna kakak a asasaerla mange, “A Nat a Barsan ir kilang a galis a mamahat, pa a ningnigola, pa a leklek na tena artabarla tetek e God, pa a tena asaerla tagun a Warkurai bel lar mang suri pa dir umkoli. Ning natol a pukakiar ir rop ir laun ulak.” 
MRK.8.32	A warwara ne ane Iesu i talapor kol. Pa e Pita i ben masik pasi pa i warwara rakrakai ana i. 
MRK.8.33	E Iesu i talingir pa i tai tetek anuna kakak a asasaerla, pa i warwara rakrakai tetek e Pita mange, “Satan, ur han utumo lamur kusun iau! Anasa u mur ka a nuknuk a taraila, pa bel u mur a nuknuk e God.” 
MRK.8.34	E Iesu i kabah pas a kunum a taraila taum ana kakak a asasaerla teteki, pa i atai la mang, “Ning tik ir mang sur ir mur iau, gong i mur a nuknukna. Ir los pas anuna rakai kutus pa ir mur iau. 
MRK.8.35	Esining ir tong akes anuna lalaun ir hirua, pa esining bel i tong akes anuna lalaun sur iau pa ana Wakak a Warwara otleng ir laun. 
MRK.8.36	Ir wakak mangmangasa ning tik ir aslang arop pas a rakrakan hanua, pa ir alaulau a inguna ono? 
MRK.8.37	Ir lou keles a inguna ana sa? Belal. 
MRK.8.38	Pa tik ning ir meme hok pa anuk na warwara na matana taun taraila ning anunla lalaun i bakbak kusun e God pa la sira tol a toltol laulau, a Nat a Barsan otleng ir meme ono ning ir hanot taum ana nuna angelola pa a matatar anune Tamana.
MRK.9.1	Pa i atai la mang, “A atong momoli ta mulo, dingla o mulo ning mulo tur te, belot mulor mat, pa mulor oroi a matanitu ane God ir hanot taum ana rakrakai.”
MRK.9.2	Ning diono na pukakiar ka rop, e Iesu i ben pas e Pita, Jems pa e Jon, pa i ben maskan pas ditol usaot ana mangir ning i tur kas kol. Pa ditol oroi a palaona e Iesu i ries. 
MRK.9.3	Anuna na kaenla i pil pa i kokok rakrakai kol, pa bel tik mite lapiu ir gos totoh pas ta kaen manglarning. 
MRK.9.4	Pa natola kakak a asasaer ditol oroi pas e Elaija pa e Moses dia hanot pa ditol warwara taum o e Iesu. 
MRK.9.5+MRK.9.6	Pa natola kakak a asasaer ditol matmataut kol pa e Pita bel i tasman asa ir atongi, pa i atai kama e Iesu mang, “Tena Asaer i wakak sur dalar kes kama te. Mitolar tol ir natola palturturup, takai anumi, takai ane Moses, pa takai ane Elaija.” 
MRK.9.7	Lamur a laukap i poroi alar pas la. Pa a elngen takai misaot na laukap i atongi mang, “Ine a Natuklik, a mang kol suri. Mulor longor tana.” 
MRK.9.8	Aiapiapka ditol gilam taltal, ika bel ma ditol oroi ulak tik, e Iesu sot kama kaning i tur taum on ditol.
MRK.9.9	Ning la han purum amon misaot ana mangir, e Iesu i sairas ditol sur gong ditol atai tar tik ana ututnala ne ditol ka oroi tari, tuk ana pukakiar ning a Nat a Barsan ir kamtur ulak kusun a minat. 
MRK.9.10	Ditol mur a warwara ning, pa ditol deken artalai ditol mang, “Asa momol a kamkamtur ulak kusun a minat?”
MRK.9.11	Pa ditol deken e Iesu mang, “Asa kamkamna ning a tena asaerla tagun a Warkurai la atongi mang e Elaija ir hanot nigo?” 
MRK.9.12	I keles ditol mang, “A momolna ot, e Elaija ir hanot nigo pa ir atostos ulak a ututnala rop. Pa asa kamkamna ning di ka tumus tari ana Buk Tabu mang a Nat a Barsan ir kilang a galis a kankan pa bel dir mang suri? 
MRK.9.13	Pa ne ar atai tar mutol mang e Elaija ka hanot pas, pa la tol a toltol laulaula teteki arlar ana nunla nemnem, lar otning di ka tumus tari onoi ana Buk Tabu.”
MRK.9.14	Ning e Iesu taum ana natol a kakak a asasaer la han purum tetek a kakak a asasaerla, la oroi a tnan kunum a taraila kaning la tur talilis pas la, pa a tena asaerla tagun a Warkurai kaning la arlak ana warwara taum ana kakak a asasaerla. 
MRK.9.15	Ning a tarai la oroi pas e Iesu, la kulkulan kol, pa la dun barati pa la gasgas pasi. 
MRK.9.16	Pa e Iesu i deken anuna kakak a asasaerla mang, “Asa ning mulo arlak na warwara onoi?” 
MRK.9.17	Ning a barsan miting na tinine taraila i kelesi mang, “Tena Asaer, a ben a natuk barsan tetek u, ning a mot i kas tar onoi pa bel i tolsot sur ir warwara. 
MRK.9.18	Ning a mot ne i sira umi, i sira migen purumi ting lapiu, pa a busa na pahana i sira purum, i arngingit pa a palaona i rakrakai. A nunung anum a kakak a asasaerla sur lar kepsen sen a mot kusuni, ika bel la tolsot.”
MRK.9.19	E Iesu i keles la mange, “Mulo a taun tarai ne, bel mulo tortorot! A ka kes kol tetek mulo. Nangse ma mulor tortorot? Mulor ben a kaklik ning tetek iau.” 
MRK.9.20	Pa la ben pasi tetek e Iesu. Ning a mot i oroi pas e Iesu, aiapiapka i migen purum tar a kaklik ning ting lapiu, pa i pele, pa i busa a pahana.
MRK.9.21	Pa e Iesu i deken a taman a kaklik mang, “Nangse i turpasi?” Pa i kelesi mang, “I turpasi onoi ning ot i kaklik. 
MRK.9.22	Galis a pukakiar a mot i sira migen tari uting na iah pa uting na malum otleng sur ir umkoli. Ning ur tolsot sur ur kepsen a mot kusuni, ur maris miau, pa ur nangan miau.”
MRK.9.23	E Iesu i atongi tana mang, “U ot! Esining i tortorot i tolsot pas a ututnala rop.” 
MRK.9.24	Pa a taman a kaklik i kukuk kapit mange, “A tortorot! Nangan iau ana nuk siklik tortorot.”
MRK.9.25	Ning e Iesu i oroi a kunum a taraila ning la dun taum, i warwara rakrakai tetek a mot mang, “U a mot, a ngat pa talnganakutkut, a atai u ur purum kusun a kaklik, pa gong ulak ma u kas onoi.” 
