MRK.1.1	Kutatika kwa Uthenga Uweme wa Yesu Kristu, Mwana wa Mulungu. 
MRK.1.2	 Ngani Malembo a Mneneli Yesaya onena kuti, “Mulungu olaŵila kuti,
MRK.1.2	‘Nikatume mtumiki wangu pa nthangu panu
MRK.1.2	kuti akawamye mseu wakuti mukapitemo.’
MRK.1.3	‘Wamyani mseu wakuti akapitemo Leza
MRK.1.3	Lungamikani mseu wakuti azepitemo.’”
MRK.1.4	Zamene izi zechitika chendi pechifwika Yohane Mbatizi mu malambo, notatika kuŵilizya. Enzouzya ŵanthu kuti, “Lekani viipa vanu, mubatiziwe, na kuti Mulungu akulekeleleni ku machimo ŵanu.” 
MRK.1.5	Ŵanthu ofumila mu chalo cha Yudeya na a ku Yelusalemu enzokuya kwake. Wove enze kuti akaulula machimo ŵawo, yove enzowabatiza mu mumana wa Yolodani. 
MRK.1.6	Yohane enzovwala vovwala va usako wa ngamila, nomangila muluunda bande wa chikumba. Chakulya chake chenze zombe na uchi wamsanga. 
MRK.1.7	Mukuŵilizya kwake enze kuti, “Pa vuli pangu pakuza munthu muyakine wamphamvu wopula newo, mwakuti newo nine wosawamila kuŵelama no masula myando za nkhwaŵilo zake. 
MRK.1.8	Newo nukubatizani na manzi, koma yove azekubatizeni na Mzimu Utuŵa.”
MRK.1.9	Paliyopite nsita ikulu Yesu ewela kufumila ku Nazaleti, ku munzi wa ku Galileya, nipo Yohane embatiza mu mumana wa Yolodani. 
MRK.1.10	Penzofuma mu manzi Yesu ewona Kululu kwekezuka, na Mzimu Utuŵa eseluka pa yove ngani nkhunda. 
MRK.1.11	Tetyo kwimvwika malizu kufumila Kululu kuti, “Wewo niwe Mwana wangu wotemweka. Nusangalala nawe ngako.”
MRK.1.12	Nsita yamene iyo Mzimu Utuŵa etwala Yesu ku malambo. 
MRK.1.13	Kwechinkhala masiku makumi anai, penzoyezyewa na Satana. Kwenze nyama za msanga, koma angelo enzomuyavya.
MRK.1.14	Yohane pechipozewa mu ndende, Yesu eluta ku Galileya kuyoŵilizya Uthenga Uweme wa Mulungu. 
MRK.1.15	Enze kuti, “Nsita yakwana; Ufumu wa Mulungu uli pafupi. Lekani viipa vanu nochetekela Uthenga Uweme uyu.”
MRK.1.16	Yesu penzoyenda mu mbali mwa Chimumana cha Galileya, ewona ŵanthu aŵili, Simoni na mkwawo Andeleya, enzopoza makombe pa manzi, pakuti enze okata masaŵi. 
MRK.1.17	Yesu eŵauzya kuti, “Mwewo munikonkhe, nikakusambizyeni kunkhala okata ŵanthu noŵaleta ku Ufumu wa Mulungu.” 
MRK.1.18	Pameneapo esiya makombe ŵawo nomukonkha.
MRK.1.19	Pechiyenda patontho Yesu ewona Yakobe na Yohane ŵana ŵa Zebediyo, aŵa enze mu ngalawa, enzowamya makombe ŵawo. 
MRK.1.20	Nsita yamene iyo yove eŵaita. Pameneapo eŵasiya mu ngalawa ausu wawo a Zebediyo pamo na ŵanthu aganyu, nokonkha Yesu.
MRK.1.21	Wonse aŵa eluta ku Kapilinamu. Peifwika nsiku ya Sabata, Yesu eloŵa mu kachisi wa Ayuda notatika kusambizya. 
MRK.1.22	Vosambizya vake venzoŵakata mitima ngako ŵanthu, chikomo chakuti enzosambizya mowonesha ulamulilo, kusiyana na mwenzochitila Asambizyi a Malamulo.
MRK.1.23	Mu kachisi wa Ayuda mwala mwiloŵa munthu wokatiwa na chiŵanda. Elaŵila moŵilikizya kuti, 
MRK.1.24	“Kansi takuifyilani chinji Yesu wa ku Nazaleti? Kansi mwewela kuzoticheneka? Nakuziŵani, nimwe Mtuŵa Mwana wa Mulungu.” 
MRK.1.25	Koma Yesu elamulila chiŵanda kuti, “Nkhala chelele, fuma mwa uyu munthu.” 
MRK.1.26	Apo chiŵanda chala chemusungʼuzya ngako wala munthu, nipo cheŵilikizya koyofya, nofuma.
MRK.1.27	Ŵanthu wonse ŵala etatika kulaŵila, nokonshana kuti, “Kansi ichi ni chinji? Kansi ni ma sambizyi alomba! Uyu munthu ali na ulamulilo pa viŵanda nipo vumumvwa chendi.” 
MRK.1.28	Mumangu mbili yake yewanda paliponse ku mbali yonse ya ku Galileya.
MRK.1.29	Pa vuli pake Yesu, pamo na Yakobe na Yohane, efuma mu kachisi wa Ayuda na kuyoloŵa mu ngʼanda ya Simoni na Andeleya. 
MRK.1.30	Anyavyala wa Simoni enze lele, enzolwala malungo. Yesu pechifwika ŵanthu emuuzya za ulwele wawo. 
MRK.1.31	Yesu eluta noŵakata pa kwanja nowausha, nipo malungo ŵala esila. Pameneapo wove etatika kuŵawamyila chakulya.
MRK.1.32	Mchingulo mwamene umo, zuŵa peiloŵa ŵanthu wonse na ayawo otamana, na okatiwa na viŵanda ewela kwa Yesu. 
MRK.1.33	Ŵanthu a mu munzi wonse eunjikana panja pa ngʼanda. 
MRK.1.34	Yesu echizya anyinji enzotamana na malwele wosiyana–siyana, nipo efumya viŵanda vinyinji. Koma viŵanda vala evilesha kuulula, chikomo chakuti venzomuziŵa.
MRK.1.35	Mu mamawa, kukaliye kucha, Yesu euka noluta kwayeka kusapita–pita ŵanthu, kwamene uko elomba. 
MRK.1.36	Simoni na ayakine echiyomusakila. 
MRK.1.37	Pechimufwana emuuzya kuti, “Ŵanthu wonse okusakilani.”
MRK.1.38	Koma yove eŵauzya kuti, “Tiyeni tilute ku minzi iyakine kufupi nakuno, nikaŵilizye malizu nako, pakuti niye chenizila.” 
MRK.1.39	Tetyo eluta noŵilizya mu makachisi ŵa Ayuda ku Galileya konse, nipo enzofumya viŵanda.
MRK.1.40	Munthu muyakine wa mambombo ewela kwa Yesu. Emufukamila nomusenga. Echiti, “Mukapangwa munganisuke
MRK.1.41	Yesu emchitila chitinthi. Eimya kwanja nomukumya nolaŵila kuti, “Nupangwa, sukiwa!” 
MRK.1.42	Pameneapo mambombo ŵala esila, nipo esukiwa chendi.
MRK.1.43	Lomba Yesu emulamula kuti alute, emuuzya malizu amphamvu. 
MRK.1.44	Echiti, “Chenjela, usauzye aliyense za ichi, ingoluta kwa wansembe akakuwone, nipo ukatwale nsembe yechilamula Mose. Yamene iyo inkhale mboni yosimikizya kuti wachila chendi.” 
MRK.1.45	Koma wala munthu pechifuma pala eluta notatika kuŵilizya paliponse za nkhani yala, ni chikomo chake Yesu aliyewonekele soti ku ŵanthu a mu minzi iliyonse. Enzonkhala kuyakine, ku malo kosapita–pita ŵanthu, koma ŵanthu enzokuza mphela kwa yove kufumila ku mbali zinyinji.
MRK.2.1	Pechipita masiku atontho, Yesu ewelela soti ku Kapilinamu, nipo mbili imvwika kuti wawela. 
MRK.2.2	Ŵanthu anyinji eungana pamo, na kuti malo na pa mulyango kumo penzeve. Yesu enzoŵilizya malizu kwa wove. 
MRK.2.3	Ŵanthu ayakine ewela kwa Yesu, anai awove alunyamule munthu wavizo vakufwa. 
MRK.2.4	Chikomo cha ŵanthu enzepo anyinji ŵala ŵanthu aliyokwanishe kumutwala kwa Yesu munthu wavizo vakufwa. Tetyo ekwela pa mutenje nobowola chiboo nopitisha machila peenzelele wala munthu kutwala kwa Yesu. 
MRK.2.5	Pechiwona chichetekelo cha ŵala ŵanthu, Yesu emuuzya wala munthu wavizo vakufwa kuti, “Mwana wangu, machimo ŵako alekelelewa.”
MRK.2.6	Asambizyi a Malamulo ayakine enzepo, etatika kuzikonsha mu mtima kuti, 
MRK.2.7	“Chikomo ni chinji yove angalaŵile teti? Aŵa ni manyozo! Ni Mulungu yeka angalekelele machimo!”
MRK.2.8	Pameneapo Yesu eziŵa mu mtima mwake venzolingilila asambizyi, tetyo eŵakonsha kuti, “Chikomo ni chinji mulingilila ivo mu mtima mwanu? 
MRK.2.9	Chapafupi ni chini: kumuuzya uyu munthu kuti, ‘Machimo ŵako alekelelewa,’ keno kunena kuti, ‘Uka, nyamula machila ŵako tatika kuyenda’? 
MRK.2.10	Nikuonesheni nipo, kuti Mwana wa Munthu ali na ulamulilo pa chalo kulekelela machimo.” Tetyo emuuzya wala munthu wavizo vakufwa kuti, 
MRK.2.11	“Nukuuzya, uka, nyamula machila ŵako nkhoya ku ngʼanda.” 
MRK.2.12	Wala munthu euka, nonyamula machila ŵake na kuya ku ngʼanda. Ŵanthu wonse ololesha. Wonse ekanganishiwa notwala mchinzi kwa Mulungu, nonena kuti, “Tikaliyowonapo chinthu ngani ichi!”
MRK.2.13	Yesu ewelela soti ku mbali kwa Chimumana cha Galileya. Ŵanthu anyinji ewela kwa yove, na kuti etatika kuŵasambizya. 
MRK.2.14	Penzoyenda ewona Levi mwana wa Alifeyo ali mu ngʼanda ya msonkho kusonkhesha msonkho. Yesu emuuzya kuti, “Nikonkhe.” Levi eima nomukonkha.
MRK.2.15	Yesu penzokulya mu ngʼanda mwa Levi, ŵanthu anyinji osonkhesha misonkho na ŵanthu wochimwa emukonkha nakulya naye pamo na asambili ŵake. 
MRK.2.16	Asambizyi a Malamulo amene enze Afalisi pechiwona kuti Yesu akulya pamo na ŵanthu wochimwa na osonkhesha msonkho, ekonsha asambili ŵake kuti, “Chikomo ni chinji Yesu akulya na ŵanthu wochimwa na osonkhesha msonkho?”
MRK.2.17	Yesu pechimvwa eŵayasuka kuti, “Munthu wosalwala angapangwelini singʼanga koma wolwala. Newo niliyozile ŵanthu olungama koma wochimwa.”
MRK.2.18	Nsita iyakine asambili a Yohane Mbatizi na Afalisi enzopunguza. Ŵanthu ayakine ewela kwa Yesu nomukonsha kuti, “Chikomo ni chinji asambili a Yohane Mbatizi na asambili ŵa Afalisi opunguza, koma ŵanu opunguzalini?”
MRK.2.19	Yesu eŵayasuka kuti, “Kansi oitiwa ku ukwati angafumeko na njala pamene mukwati alipo?” Yai! Malinga ali na mukwati angachitelini kupunguza. 
MRK.2.20	Koma ikafwike nsita yati mukwati akatolewe kufuma kwa wove, niye patiakapunguze.
MRK.2.21	“Paliye angaŵile chigamba cha nyula yalomba pa chovwala chakale. Chikomo chakuti chigamba chalomba chufuma nopangilako chinthuli kuŵa chikulu kupula kale. 
MRK.2.22	Nipo paliye munthu othila vinyu walomba mu nkhomwa ya kale. Chikomo chakuti akatetyo, vinyu ungʼamba nkhomwa na kuti vonse vinyu na nkhomwa vunkhala viliye nchito. Tetyo vinyu walomba outila mu nkhomwa yalomba.”
MRK.2.23	Nsiku iyakine pa Sabata ya Ayuda Yesu na asambili enzopita mu munda wa tiligu. Penzopita tetyo, asambili ŵake etatika kutyola nsonga za tiligu. 
MRK.2.24	Afalisi emuuzya Yesu kuti, “Onani, chikomo ni chinji asambili ŵanu ochita chosalolewa pa Sabata?”
MRK.2.25	Yesu eŵayasuka kuti, “Kansi muliyoŵelenge chechichita Davide pechimvwa njala yove na ayakine? 
MRK.2.26	Mu masiku a Abiyatala wansembe mkulu, siwala eloŵa mu Ngʼanda ya Mulungu nakulya mkate wotwaliwa kwa Mulungu. Kulingana na Malamulo, ni ansembe ŵeka ololewa kulya mkate, koma Davide echilya nopako ayakine.”
MRK.2.27	Tetyo eŵauzya wove kuti, “Sabata ipangiwa kuŵa ya ŵanthu, osati ŵanthu kunkhala ŵazya ŵa Sabata. 
MRK.2.28	Tetyo Mwana wa Munthu na Asikulu ali na ulamulilo na za pa nsiku ya Sabata.”
MRK.3.1	Yesu eluta soti kuyoloŵa mu kachisi wa Ayuda, mwechifwana munthu wolemala kwanja. 
MRK.3.2	Ŵanthu ayakine enzemo enzopangwa kuyopezyela Yesu kuchita viipa; tetyo enzomulolesha kuti awone keno achizye wala munthu pa nsiku ya Sabata. 
MRK.3.3	Yesu euzya wala munthu wolemala kwanja kuti, “Wela kuno ku nthangu.”
MRK.3.4	Lomba Yesu ekonsha ŵanthu kuti, “Kansi chiweme ni chotyani pa Sabata? Kuchita chiweme keno kuchita chiipa? Kupulumusha moyo wake keno kuucheneka?” Koma ŵanthu ŵala enkhala chelele.
MRK.3.5	Yesu eŵalolesha na ukali ŵala ŵanthu, noŵachitila chitinthi, chikomo enze ayumu mitima. Na kuti emuuzya wala munthu kuti, “Tambulula kwanja yako.” Eitambulula kwanja yake nipo yenkhala soti luweme. 
MRK.3.6	Tetyo Afalisi efuma mu kachisi nokuyopanga kaupo na a mu chipani cha Helode, kuti amvwane njila yopailamo Yesu.
MRK.3.7	Yesu na asambili ŵake eluta ku Chimumana cha Galileya, na winji wa ŵanthu a ku Galileya enzoŵakonkha. 
MRK.3.8	Ewela chikomo chakuti enzokumvwa venzochita, anyinji ewela kufumila ku Yudeya, ku Yelusalemu, ku Idumeya na ku minzi ya ku mbali ya ku Yolodani na kuzunguluka ku Tilo na Sidoni. 
MRK.3.9	Chikomo cha winji wa ŵanthu, Yesu euzya asambili ŵake kuti amuwamyile ngalawa kuti ankhalemo, kuyopa ŵanthu kuti angamufyanthe. 
MRK.3.10	Chikomo chochizya ŵanthu anyinji, wonse enze olwala enzokankhana kuti afwane njila yakuti amukateko. 
MRK.3.11	Viŵanda venze kuti vikamuona, venze kuŵa pansi pafupi na yove noŵilikizya kuti, “Mwewo nimwe Mwana wa Mulungu.” 
MRK.3.12	Koma yove evichenjezya kuti visamuulule.
MRK.3.13	Yesu ekwela ku mbali ya lupili noita ŵanthu ŵenzopangwa pa winji wa ŵanthu ŵeenze nawo. Wove enzokuya kuli yove. 
MRK.3.14	Esalula ŵanthu kumi na aŵilli noŵaika kuŵa wotumiwa kuti aonkhala naye na kuti aoŵatuma kuyoŵilizya 
MRK.3.15	noŵapasa ulamulilo wofumya viŵanda. 
MRK.3.16	Aŵa niye ŵanthu kumi na aŵili ŵechisalula: Simoni (wechipasa zina yakuti Petulo); 
MRK.3.17	Yakobe mwana wa Zebediyo na mkwawo Yohane (aŵa eŵapasa zina yakuti a Boanege, kunena kuti “oyofya ngani nikaleza”); 
MRK.3.18	Andeleya, Filipo, Batulumeyo, Mateyo, Thomase, Yakobe mwana wa Alifeyo, Thadeyo, Simoni wa mu chipani cha Zelote 
MRK.3.19	na Yudasi Iskalioti wamene emutwala kwa alwani.
MRK.3.20	Yesu ewelela ku ngʼanda. Winji wa ŵanthu weungana soti pa ngʼanda, chakuti Yesu na asambili ŵake enzeve nsita ya kulya. 
MRK.3.21	Enekwawo pechimvwa ichi, ewela kuti amutole, pakuti ŵanthu ayakine enzolaŵila kuti, “Wasiluka.”
MRK.3.22	Asambizyi ayakine a Malamulo efuma ku Yelusalemu enzolaŵila kuti, “Wakatiwa na Belezebule! Ni mkulu wa viŵanda enzomupa ulamulilo wovifumya.”
MRK.3.23	Tetyo Yesu eŵaita nolaŵila nawo mu myambi, enze kuti, “Kansi Asatana angafumyane ŵeka–ŵeka? 
MRK.3.24	Keno ufumu watatika kutatikana weka–weka, ungakoselini, 
MRK.3.25	nipo keno ŵanthu a mu banja imo atatika kuukilana, banja yala ingakoselini. 
MRK.3.26	Na kuti keno Asatana aukilana nosushana ŵeka– ŵeka, angapanamelini; niye kuti asila. 
MRK.3.27	Paliye angaloŵe mu ngʼanda mwa munthu wokosa noiŵa vinthu vake, koma keno amumangilila wala munthu. Niye pangamuiŵile mu ngʼanda mwake. 
MRK.3.28	Nukuuzyani vyendi kuti munthu angalekelelewe machimo ŵake wonse na viipa vonse vangalaŵile, 
MRK.3.29	koma aliyense wolaŵila viipa pa Mzimu Utuŵa akalekelelewelini, chikomo chakuti wachita chimo chosasila.”
MRK.3.30	Yesu enena ivi chikomo chakuti ŵanthu enze kuti, “Wakatiwa na viŵanda.”
MRK.3.31	Nipo anyina na enekwawo a Yesu ewela, nopanama panja, notuma munthu kuti akamuite. 
MRK.3.32	Ŵanthu anyinji enkhala pansi nomuzunguluka nomuuzya kuti, “Lola, anyoko na enekwanu ali panja, okupangwa.”
MRK.3.33	Yesu aŵayasuka kuti, “Amama ni ŵani? Akwasu ni ŵani?”
MRK.3.34	Elolesha ŵanthu enzomuzunguluke nonena kuti, “Lolani! Aŵa niye amama na enekwasu! 
MRK.3.35	Aliyense ochita vakupangwa Mulungu niye mkwasu, mlongosi, na amama.”
MRK.4.1	Yesu etatika soti kusambizya ku mbali kwa Chimumana cha Galileya. Umba ya ŵanthu iungana kwa yove, tetyo yove eloŵa mu ngalawa, nonkhala pansi. Umba yonse ipanama pa silya mu mbali mwa chimumana. 
MRK.4.2	Eŵasambizya vinyinji kupitila mu myambi, enzoŵauzya kuti, 
MRK.4.3	“Mvwani! Munthu muyakine eluta kuyomwazya mbuto. 
MRK.4.4	Pechimwazya mbuto mu munda mwake, ziyakine ziponela mu mseu, nipo tunyoni twiwela nakulya zonse. 
MRK.4.5	Ziyakine ziponela pa myala penzeve lito inyinji. Tetyo mbuto zala zimela mangu chikomo cha lito itontho 
MRK.4.6	koma peiwela zuŵa tumumela twala twichipya chikomo chakuti mizyu iliyoloŵe pansi ngako nipo twiyuma. 
MRK.4.7	Ziyakine ziponela pa minga, yamene ikula nocheneka tumbuto twala, na kuti tuliyotwale vitwalo. 
MRK.4.8	Koma ziyakine ziponela pa chonde chiweme, nomela, nokula, notwala vitwalo: ziyakine zenze na vitwalo makumi atatu, ziyakine makumi asano na imo, na ziyakine zenze na makumi kumi.”
MRK.4.9	Yesu enena soti kuti, “Ali na matu akumvwa, amvwishishe!”
MRK.4.10	Yesu penze pa yeka, asambili ŵala kumi na aŵili pamo na ŵanthu ayakine ŵenzonkhala nawo emukonsha za myambi yala. 
MRK.4.11	Yesu eŵayasuka kuti, “Mwewo mwepasiwa chisinsi cha Ufumu wa Mulungu, koma ayakine ali kunja akumvwa zonse mu myambi tyala, 
MRK.4.12	 kuti tetyo,
MRK.4.12	‘Kulolesha angaloleshe chendi,
MRK.4.12	koma osaona kanthu;
MRK.4.12	na kuti kumvwa angamvwe,
MRK.4.12	koma osamvwisha kanthu.
MRK.4.12	Kuti akatetyo, angatembenuke mitima,
MRK.4.12	nipo Mulungu angaŵalekelele.’”
MRK.4.13	Pa vuli pake Yesu eŵakonsha kuti, “Kansi mukumvwalini tanthauzo ya uyu mwambi? Niye kuti mungamvwe tyani tanthauzo ya mwambi uliwonse? 
MRK.4.14	Womwazya mbuto wala ni womwazya Malizu a Mulungu. 
MRK.4.15	Ŵanthu ayakine ali ngani mbuto zoponela mu mseu; mwangamvwile Malizu a Mulungu, Satana akuza na kuzoŵafumya. 
MRK.4.16	Ayakine ali ngani mbuto zoponela pa myala penzeve lito, mwangamvwile Malizu, oŵapokelela na chimwemwe. 
MRK.4.17	Koma ozyikalini mizyu soti onkhalishalini mu mitima yawo. Tetyo mavuto na manzunzo akaza chikomo cha Malizu, ŵanthu ŵala otaya chichetekelo. 
MRK.4.18	Ŵanthu ayakine ali ngani mbuto zoponela pa minga. Aŵa ni ŵala akumvwa Malizu, 
MRK.4.19	koma otangwanishiwa na za pa chalo, kutemwa chuma na viyakine vukumbwilika noluŵisha Malizu ŵala, tetyo osatwala vitwalo. 
MRK.4.20	Koma ŵanthu ayakine ali ngani mbuto zoponela pa chonde chiweme. Akumvwa Malizu, noŵapokelela, notwala vitwalo: ayakine makumi atatu, ayakine makumi asano na imo, na ayakine makumi kumi.”
MRK.4.21	Lomba Yesu eŵakonsha kuti, “Kansi munthu angatole nyale noivwinikila na nongo keno kuiika ku nyansi kwa kama? Kansi oiikalini poika nyale? 
MRK.4.22	Chilichonse chofisika chikaonekele patuŵa, chilichonse chovwinikilika chikavunukuliwe. 
MRK.4.23	Ali na matu akumvwa, amvwishishe!”
MRK.4.24	Eŵauzya soti kuti, “Ikani nzelu ku vamukumvwa! Malamulo ŵamuseŵenzesha kupingula ayanu Mulungu akaŵaseŵenzeshe kupingula mwewo, koma mwewo chikaŵe nyanye. 
MRK.4.25	Wala ali na vinthu kale akamupasilepo viyakine, koma aliye kalikonse akamupoke na katontho kalinako.”
MRK.4.26	Yesu epitilizya kuti, “Ufumu wa Mulungu uli teti. Munthu emwazya mbuto mu munda mwake. 
MRK.4.27	Enzolala usiku, kuuka mu zuŵa, na kuti nsita yonse iyo mbuto zala zenzomela nokula, koma yove enzoziŵalini mwavenzochitikila. 
MRK.4.28	Lito yumelesha nokulisha mbuto mpaka kutwala. Yutatika kumela, nofumya ngalangala na kuzotwala vitwalo. 
MRK.4.29	Pameneapo vitwalo vikapya, wala munthu otola jeko yoseŵela, pakuti nsita yowezya yafwika.”
MRK.4.30	Yesu ekonsha kuti, “Kansi Ufumu wa Mulungu tingaulinganizye na chinji? Ngani mwambi wotyani watingaseŵenzeshe kuti tiutanthauzile? 
MRK.4.31	Uli ngani mbuto ya mpilu. Munthu otola mbuto itontho ngako mu chalo, noikomola pa lito. 
MRK.4.32	Pakapita nsita, yukula nonkhala mumela ukulu ngako pa vumela vonse. Yukuŵa na misambo ikulu chakuti tunyoni tuwela nopangamo tuvumbo mu chimfule chake.”
MRK.4.33	Yesu enzolaŵila na ŵanthu Malizu a Mulungu poseŵenzesha myambi inyinji ngani iyi; enzoŵauzya vinyinji vakuti amvwishishe. 
MRK.4.34	Enzolaŵilalini nawo kosaseŵenzesha myambi, koma akaŵa yeka na asambili ŵake, enzowatanthauzila vonse.
MRK.4.35	Mu chingulo mwa nsiku yamene yala Yesu euzya asambili ŵake kuti, “Tiyeni titaukile kusilya iyakine ya chimumana.” 
MRK.4.36	Tetyo eisiya umba yala; asambili eloŵa mu ngalawa mwenze nkhezi Yesu noluta naye. Penze mangalawa ayakine enzoŵakonkha. 
MRK.4.37	Movundumukizya chinkhuka choyofya chewela, na kuti matambazi etatika kuloŵa mu ngalawa, nipo mwetatika kuzula manzi. 
MRK.4.38	Yesu enze ku vuli kwa ngalawa, enze lele na mutu wake wenze pa chosamilapo.
MRK.4.38	Asambili ŵake emuusha, echiti, “Asambizyi, kansi musamalalini kuti tikufwa?”
MRK.4.39	Yesu euka nolamulila chinkhuka nouzya matambazi kuti, “Leka! Nkhala chelele!” Chinkhuka chala chileka, nipo matambazi enkhala chelele.
MRK.4.40	Lomba Yesu euzya asambili ŵake kuti, “Ni chinji muchita mwezo? Kansi nalomba muliye chichetekelo?”
MRK.4.41	Koma enze echita mwezo nokanganishiwa tetyo ekonshana kuti, “Kansi uyu munthu ni ŵani? Wakuti ngankhale chinkhuka na matambazi vumumvwila!”
MRK.5.1	Yesu na asambili ŵake efwika ku mbali iyakine ya Chimumana cha Galileya, ku mbali ya ku Geleseni. 
MRK.5.2	Yesu pechingofuma mu ngalawa ekumana na munthu efumila ku manda. Munthu uyu enzokatiwe na viŵanda 
MRK.5.3	na kuti enzonkhala ku manda pa ndili. Paliye munthu soti enzokwanisha kumumanga unyolo. 
MRK.5.4	Nsita zinyinji mendo ŵake na manja enzokuŵa omanga, koma nsita zonse enzotenda nofwaya unyolo wakumendo kwake. Enze na mphamvu ngako chakuti kwenzeve munthu enzomukwanisha. 
MRK.5.5	Enzoyenda pa ndili na mu malupili usiku na mzuŵa, kuŵilikizya nolicheka na myala.
MRK.5.6	Pechiwona Yesu patali chiŵanda chala, chemuutukila, nofukama pafupi na yove, 
MRK.5.7	noŵilikizya kuti, “Yesu Mwana wa Mulungu wa Kululu! Mupangwanji kuli newo? Mzina ya Mulungu, nukusengani osanitamanisha!” 
MRK.5.8	Chenena teti chikomo chakuti Yesu enzolaŵila kuti, “Chiŵandawe fuma mwa munthu uyu!”
MRK.5.9	Tetyo Yesu echikonsha kuti, “Zina yako niwe ŵani?”
MRK.5.9	Chove cheyasuka kuti, “Nine ‘Chiumba
MRK.5.10	Na kuti chepapatila Yesu kuti, asachifumye ku malo ŵala.
MRK.5.11	Pafupi na wove penze nkhumba zinyinji, zenzokulya ku mbali kwa lupili. 
MRK.5.12	Tetyo viŵanda vala vipapatila soti Yesu kuti, “Titumeni mu nkhumba, kuti tiloŵemo.” 
MRK.5.13	Yesu echilola, kuti viŵanda vala vifume mwa munthu na kuyoloŵa mu nkhumba. Nkhumba zonse zenzepo pafupi–fupi zikwi ziŵili zeutuka kuseluka lupili na kuyoloŵa mu chimumana nakufwa.
MRK.5.14	Ŵanthu enzoŵetela nkhumba zala eutuka noŵilizya mbili yala mu minzi na mu minda monse. Ŵanthu eluta kuyowona chechitika. 
MRK.5.15	Na kuti pechifwika kwa Yesu, ewona munthu enzonkhala na chigulu cha viŵanda, enze nkhezi pameneapo, wovwalikiwa na kuti enze luweme; nipo wonse echita mwezo. 
MRK.5.16	Ŵala ŵanthu ewona euzyako ayawo vechitika ku munthu wa viŵanda na ku nkhumba. 
MRK.5.17	Tetyo euzya Yesu kuti afumeko ku mbali ya kwawo.
MRK.5.18	Penzoloŵa mu ngalawa Yesu, munthu enze na viŵanda wala emusenga kuti, “Lekani nilute namwe!” 
MRK.5.19	Koma Yesu aliyomuvomelezye. Emuuzya kuti, “Nkhoya ku ngʼanda ku banja yako ukaŵauzye vinyinji vakuchitila Asikulu na lusungu yakuchitila.” 
MRK.5.20	Wala munthu eluta chendi ku Minzi Kumi, kulaŵila chechimuchitila Yesu. Na kuti wonse emvwako ekanganishiwa.
MRK.5.21	Yesu ewelela soti ku mbali iyakine ya chimumana. Kwala umba ya ŵanthu eungana soti kwa yove. 
MRK.5.22	Yailo, yumo wa akulu ampingo akwamene kwala, ewela, nipo pechiwona Yesu, elipoza pafupi na mendo ŵake 
MRK.5.23	nompapatila kuti, “Mwana wangu mwanakazi mtontho ni wolwala ngako. Tiyeni mukaike manja ŵanu pa yove kuti ankhale luweme na kuti ankhale na moyo!” 
MRK.5.24	Yesu etatika kuya naye wala munthu.
MRK.5.24	Ŵanthu anyinji enzokuya naye na kuti enze omuzunguluka ku mbali zonse. 
MRK.5.25	Penze mwanakazi enzovutika na ulwele wa mlopa kwa vyaka kumi na viŵili, 
MRK.5.26	ngankhale kuti enzoyavyiwa na singʼanga zinyinji. Eseŵenzesha ndalama zake zonse, koma mu malo mochila enzolwalilako nsita zonse. 
MRK.5.27	Enze echimvwa za Yesu, tetyo echizoloŵa pa winji wala ku vuli kwake, 
MRK.5.28	mu mtima mwake enzolaŵila kuti, “Nikakata tyala chovwala chake ninkhale luweme.” 
MRK.5.29	Ekata chovwala chake, nipo ulwele wala wileka pameneapo; enzokumvwa mu mtima mwake kuti wapulumushiwa ku matamano ŵake.
MRK.5.30	Pameneapo Yesu eziŵa kuti mphamvu zafumamo mwayove, tetyo echeukila gulu yala nokonsha kuti, “Ni ŵani wakata chovwala changu?”
MRK.5.31	Asambili ŵake eyasuka kuti, “Muwonalini ŵanthu mwakuzungulukilani: mukonshelanji wakukatani?”
MRK.5.32	Koma Yesu epitilizya kulolesha–lolesha kuti awone echita vamene vala. 
MRK.5.33	Mwanakazi wala azindikila vemuchitikila, tetyo ewela, wotutumila na mwezo nofukama pafupi na Yesu, nomuuzya vyendi. 
