MRK.1.1	O glanapen o Evangeliester Jezus Kristusester o Devlester čaveste. 
MRK.13.4	Phen menge, kai vela kava, ta havi boto hi, her mo ta vel hako kova kerapeneske. 
MRK.13.5	Jezus rakerdes ta phendes lenge: Dikhena tume, ta chocherela tumenge kenkes. 
MRK.13.6	But ta vena tela miro lab ta phenen me homes, ta chocherena buteder an. 
MRK.13.7	Tu hunen tume i kurapenester ta i kurapenester krisni, pala daren tume gar; ta kova hunte vel, ta les hi kome gar vri. 
MRK.13.8	Ta veles midžik čel api čel, ta them api them, ta venes phubiakertrisapen, čordopen ta veles. Kava hi o sikederdukhapen.
MRK.13.9	Dena tume jak apa tumende! Jon ta dena tume prala o krisniester, ta ani kangeri veles tume kurdo, ta glano baro raienge ta kralenge vel tume tardo vaške mange, lenge o čačopenester. 
MRK.13.10	Ta hake čelenge hunte vel sikeder o sastobičerpenes (evangelio) rakerdo. 
MRK.13.11	Ta dena jon tume prala kome, pala bichen tume gar sikeder, ho mo ta rakerenas tume, foni, ho vel tumen drin delto ani kova kori ho rakerlo; ta gar tume hanes, kai rakerena, les hi o boldo mulo. 
MRK.13.12	O phral dela o phrales api merapen ta o dad lesker čavo, ta o čaven vena midžik lenger menšende (Eltern) ta jon maren pen len. 
MRK.13.13	Tumen vela hakoneste midžike vaške mange ta miro labester. Kon ta rikerela džin palduno vri, kova vela hilderdo.
MRK.13.14	Ta dikhena tume kome ta štela kava midžikapen o džungalepenester kate kai mo ta veles gar (kon draverela kova, kova dela jak pre!) pale našehas kon ani Judea hi api bregende. 
MRK.13.15	Kon ta hi api kheresker čakerpen, džala gar ani kher tele, ta džala nina gar drin, ta aneles čomoni drani lesker kher. 
MRK.13.16	Kon ta hi api phub, džala gar palel ta lelo lesker ripen. 
MRK.13.17	Midžik hi kolender kai hi len phare, ta kolen kai piena an kola divesenge! 
MRK.13.18	Priserena, ta vela kava gar ani vend. 
MRK.13.19	Ta kola divese ta vena i bibacht, her ta hi les gar keake baro siter o kerapenester kai kerdes o Devel, džin kana, ta veles nina čačopaha nicht. 
MRK.13.20	Kai ta kerela o Rai kola divesa gar tikneder, keake veles kenk dženo hilderdo; vaške o lače dženenge kai rodeslo vri, kerdes job o divese tikneder. 
MRK.13.21	Her ta phendes jekes tumender: Dikhe ake hi Christus! Pale pacene les gar. 
MRK.13.22	Ta venas vaver Christusa ta vaver profetenge preštardo, ta keren pena bote ta baro kova, ta chocherena kola našte vel o lače dženenge. 
MRK.13.23	Dena tume jak apo tumende! Dikhena me phendomes tume sikeder lauter!
MRK.13.24	An kola divesenge pala kana midžikopenester vela o kham tameldo, ta o tikno kham dela leskr momeli gar. 
MRK.13.25	I cirna o bolapenester pejena tele ta i zorelopenende kai hi len an o bolapen velen triserdo. 
MRK.13.26	Pale dikhena ta vela o dženengerčavo ani felešnodi i baro zorelopen ta railapenester. 
MRK.13.27	Pala bičerelo lesker engle vri ta lesker lače dženenge vejen ketene kola štar bravalender i papelo kunč o phubester džin o papelo kunč i bolapeneske. O gibesterrukeste ta sikerena o parnisa.
MRK.13.28	Ta hi o rukeskerkoter sido, ta i patria hi len bares, keake džanena tume, ta hi o nijel gar dur. 
MRK.13.29	Keake džanena tume nina, ta dikhena tume ta džala kava, ta hi lo gar dur glano vuder. 
MRK.13.30	Cačo phenau me tumen: Kana čel džala gar vri, džin ta vela kava lauter. 
MRK.13.31	O bolapen ta o phub džalen vri, ta miri labenge vel ta džalen gar vri.
MRK.13.32	Kova dives ta kola kori džanela kenkes, nina o engle ani bolapen gar, kome gar o čavo, foni o dad. 
MRK.13.33	Dikhene, priserena ta han džangle, tume džanena gar, kai hi les ciro. 
MRK.13.34	Les hi her paši dženo, ta mekjes lesker kher ta gejes peske, ta dejes lesker valete o zorelopen hakeneske lenger butikaben, ta nina koles kai hilderdes o vuder phendeslo, job mo ta džangereslo. 
MRK.13.35	Han kome džanglo, tume džanena gar, kai vela o rai i kherester, brevul ta o maškeral rateske, paši bašnestergodlopen ta taisirlakro! 
MRK.13.36	Gar, kai ta velo sik, ta hacelo tumen sutlo. 
MRK.13.37	Ho ta phenau me tumen, kava phenau me hakene: Džanglen tume!
MRK.14.1	Pala dui divese has kome i Devlesker divese ta i ciri kola bišutli marenge; ta o barorašaiende ta livro‐sikermangerende panderden, her našte taperen ta maren pen les lenger godsveropenester. 
MRK.14.2	Jon ta phenden: Foni gar ani kurko ta dela gar tela o čeles i godlopen.
MRK.14.3	Her ta haslo ani Bethanien ani Simonester kher, kai has geralo, ta bešes o chamaskereske, vejes i romni i šuker korester, kai has kuči makepen drin, ta phagerdes kava koro, ta čidesli apo leskr šero. 
MRK.14.4	Jekender ta phenden midžik telavaverkend: Hoveske hi kava but maklopen kerdo. 
MRK.14.5	Bikerdomes kaia makapen buteder har trinšel betenge, ta dahas kava love o čorolenge. Ta jon čingerden prala late. 
MRK.14.6	Jezus ta phendes: Meken la! Hoske pharena tume la? Joi kerdes i lačo kerapen amande. 
MRK.14.7	Čorele hi tume ha paša tumende, ta kamenas, našte keren penge lačo; man hi tume gar hako ciro. 
MRK.14.8	Kaja kerdes ho naštela; joi makjes sikeder miro trupeste o paskerpeneske drin. 
MRK.14.9	Čačo me phenau tumenge, kai velo ani celo phub i sastobičerpen rakerdo, vela nina ho kerdesli gindo, laker nišeske.
MRK.14.10	Ta Judas Ischariot o jek kola dešduiender gejes koi o barorašaiende, ta phukerelo api Jezuseste. 
MRK.14.11	Her ta hunden kala kava, dzivjen pen jon, ta ferrakerden pen les, ta dejen pen les love; job ta roderdes, her našte phukerelo apo leste.
MRK.14.12	Ta ano ersto dives kala bišutle marenge, kai vel o passa‐ternobakro mardo, phenden o sikermangerenge apo leste: Kai kame tu, ta džahas men ta kerahas tuke o passa‐ternobakro ta chal? 
MRK.14.13	Pala bičerdeslo dui lesker sikermangerende ta phendes apo lenge: Džan tume ani foro, kote vela i dženo paša tumende, kai hidžerela i paneskerokoro, kandene les! 
MRK.14.14	Ta kai džalo job drin, phenena api rai o kherester: O sikermaskerrai mekel tuke ta phenel: Kai hi miro chamasker‐isma, kai chan me mer sikermangerenca o passa‐ternobakro? 
MRK.14.15	Ta job sikerel tumen i baro šuker chamasker‐isma, koleske kerena menge. 
MRK.14.16	Ta lesker sikermangerenge džejen koi ta vejenle ani foro, ta hacen pen les, her phendeslo lenge, ta keren pen o passa ternobakro.
MRK.14.17	Kai vejes kome brevul, vejes job kola dešeduienca. 
MRK.14.18	Her ta bešenle paši chamaskero, ta chanele, phendes Jezus: Čačo me phenau tumenge: Jek tumender kai chala manca, phukerela apa mande. 
MRK.14.19	Jon ta kaiden pen le, ta phučen pen le jek i vaverester: Hom les me? 
MRK.14.20	Job ta phendes apo lenge: Jek kola dešaduiender, kai čivele manca lesker vast ani čaro drin. 
MRK.14.21	O dženengerčavo ta džala koi her lester čindo hi; dukedo kova dženeske, drucha vel o dženesker čavo phukerdo. Kaleske vejahas fededer, ta veles job gar phardo. 
MRK.14.22	Her ta chajenlen, lejes o Jezus o maro, priserdes les, phagerdes les, dejes les lende ta phendes: Len les koi, kava hi miro trupo. 
MRK.14.23	Job ta lejes nina o koro, parkerdes ta dejes lende; ta jon pijen lauter dran. 
MRK.14.24	Job phendes apo lende: Kava hi miro rat o bandlopenester, kai vela butenge ferčordo. 
MRK.14.25	Čačo me phenau tumenge: Me piaues buter gar kava mojater, džin kai kove dives, kai piaues ani devlesker them.
MRK.14.26	Ta pala o šardogijepenester džejen pen le vri apo džeteskerbrego. 
MRK.14.27	Jezus ta phendes apo lenge: Tume lauter chojaren tumen amande kaja rati; hi les čindo: „Me kamau ta kuraues o beršero, ta o bakrenge velen drani vaverkend.“ 
MRK.14.28	Pala ta miri preštardopen, džau me tumenge glan vri pala Galilea. 
MRK.14.29	Petrus ta phendes apo leste: Mo ta chojaren pen nina lauter an tuke, pala ta kerau les me gar. 
MRK.14.30	Jezus phendas ap leste: Čačo, phenau me tuke, kaua dives ani kaja rati, ta dela o bašno dui moli godli, te tu man trin moli bochoste. 
MRK.14.31	Job ta rakerdes kome buteder: Ta hunte meraues nina tuhe, pala bochorela me tuke kome gar. Keake phenden len lauter.
MRK.14.32	Ta jon vejen ani baromontaia, kai khardes Gethzemani, ta job phendes apo lesker sikermangerende: Bešen tume kai, keake raha ta priseraua. 
MRK.14.33	Ta job lejes o Petrus, Jakobus ta Johanes paša leste, ta job triserdes ta dares peske. 
MRK.14.34	Ta job phendes apo lenge: Miro dzi hi trašerdo džin ani merapen. Ačen kai ta džanglena. 
MRK.14.35	Ta job džejes bresla dureder, pejes api Phub tele, ta priserdes, ta našte veles, ta džala kaja kori glan leste pralnikli. 
MRK.14.36	Ta job phendes: Dad, tu našte kere lauter, le kava koro mander nikli! Kome gar, ho kamaua me, foni ho kame tu! 
MRK.14.37	Ta job vejes ta haceslo len sodes. Ta job phendes apo Petruses: Simon tu sovehe? Gar jek kori našte džange tu? 
MRK.14.38	Džangena ta priserena, ta perena tume gar ani midžiko kova. O mulo ta kameles, o mas hi bizorelo. 
MRK.14.39	Ta job džejes papele koi ta priserelo, ta phendes komoli kova lab. 
MRK.14.40	Her ta vejeslo papele pale, haceslo len komoli sodes, (ta lengre jake has len phare), ta jon džanden gar, ho ta phenen leske le. 
MRK.14.41	Ta job vejes o trinto kopo ta phendes apo lende: Sovena ta kinevena foni, hi les doha, i kori vejes! Dikehe, o dženenger čavo veles ani vast o došiender pralbičerdo. 
MRK.14.42	Štena pre, meken men ta džahas! Dikhehe kova kai phukerelo apa mande hi gar dur.
MRK.14.43	Her ta rakerdeslo kome, vejes Judas Ischariot, jek kola dešduiender, ta i baro hufka paša leste i charenca ta i kaštenea, (bičerdo) o barorašaiender ta o livrosikermangerender ta phurjender. 
MRK.14.44	Lesker phukamaskero dejes lenge i boto ta phendes: Koles kai čumeraua, kova hi: taperen les ta anen les mišto. 
MRK.14.45	Her ta vejes job kai, štakerdes job sik paš leste ta phendes: Parkerdo hal, sikerpaskerrai! 
MRK.14.46	Ta job čumedes les. Jon ta čiden vast apo leste, ta taperden les. 
MRK.14.47	Jek ta kolender kai štejen kate, cerdes lesker charo ta kurdes o valeto i barorašaieske ta kurdes les i kan tele. 
MRK.14.48	Ta Jezus phendes apo lenge: Her api marepaskero cerden tume vri i charenca ta kaštenca, ta taperenes man. 
MRK.14.49	Hako dives homes me paš tumende ani kangeri ta sikerdomes ta tume taperdanes man gar. Tu hunte veles her ani činapen tardo hi. 
MRK.14.50	Ta mekjen les lauter, ta našen penge. 
MRK.14.51	Ta i raklo kandes les pale i pochtanester api nanges o trupo ridlo. 
MRK.14.52	Ta jon taperden les. Job ta vicerdes kaja pochtan pester, ta našes peske nanges lender.
MRK.14.53	Ta jon anden Jezuses paša barorašaieste; ta o celo rašaienge, ta livrosikermangerenge, ta phurienge vejen ketene. 
MRK.14.54	Petrus ta gejes lehe, duralester džin ani trujel o montaiester o barorašaiester; ta job bešdes pes kola valetenca paši jak ta tacerdes pes.
MRK.14.55	O barorašaienge kome, ta o celo baro buchli rodjen vaver čačopen o Jezusester, ta anen les i muleske, ta jon hacjen kenk. 
MRK.14.56	Ta but dejen vaver čačopen prala leste, ta kola čačopenenge his len hakerlai. 
MRK.14.57	Ta jekender štejen pre, ta čiden vaver čačopen prala leste tele, ta phenden: 
MRK.14.58	Me hundames ta phendeslo: „Me kamau ta phageraues kaja kangeri tela, kai hi kerdo i vastenca, ta ani trin dives keraues i vaver, kai hi gar kerdo o vastenca.“ 
MRK.14.59	Ta lenger čačopen has gar praldrin štimamen. 
MRK.14.60	Pala štejes o barorašai pre, štakerdes ani maškeral, phučes Jezuses ta phendes: Rakere tu prala kava či, ho vicerena kala tuke glan? 
MRK.14.61	Job ta has pokoni ta rakerdes či. Komoli phučes les o barorašai ta phendes apo leste: Hal tu Christus o Devlesker čavo, o barošardopaskero? 
MRK.14.62	Jezus phendes apo leste: Me homes; vela ta dikhen tume o dženengerčavo bešto paši čači o Devlesker zorelopen ta vela lo i felešnodenca o bolapenester. 
MRK.14.63	Pala cerdes o barorašai lesker kola ta phendes: Ho kamahas men kome čačopenengere. 
MRK.14.64	Tume hunden o Devlesker‐prasapen, ho bichena tume? Ta jon lauter plenerden (straften) les, ta job hi o muleske došvalo. 
MRK.14.65	Ta jekenge čungerden apo leste, čakerden lesker mui, kurden les lenger vastenca, ta phenden apo leste: Durkervehe! Ta i valete dejen les čamadinia.
MRK.14.66	Her ta has Petrus tele ani montaia vejes jeka kola valetacender o barorašaiester. 
MRK.14.67	Her ta dikhes la, ta tacerdes pes Petrus, dikhes joi apo leste ta phendes la: Tu hales nina paša Jezus o Nazareno. 
MRK.14.68	Job ta chocherdes ta phendes: Me prinšarau les gar, ta džanau nina gar ho rakerehas tu; ta job gejes o montaiester vri, pala dejes o bašno godlo. 
MRK.14.69	Her ta dikhes les kola valetica, phendes joi apa kolenge kai tarden kate: Kava hi nina jek lender! 
MRK.14.70	Job ta chocherdes papele. Pala phenden kola kai tarden kate papele apo Petruseste: Tu hal čačopaha jek lender; tu hal nina i Galilearo! 
MRK.14.71	Job ta košes ta dejes sovel: Me prinšeraua kava dženes gar, kolester rakerena tume. 
MRK.14.72	Ta sik dejes o bašno o duito kopo godli. Petrus ta bichades o labeste her phendes Jezus apo leste: Sikeder, kai dela o bašno dui kopo godli chochervehas tu man trin kopo. Her ta bichedeslo pale, rondes job.
MRK.15.1	Ta sik ani taisarlakro keren i barerašaienge ta i phurjenge ta i livrosikermangerenge ta i celi buchli les vri, mekjen ta kliderden Jezuses, ta anen les nikli, ta bičerden les i Pilatuseske. 
MRK.15.2	Ta Pilatus phučes les: Hal tu o kralo o biboldender? Job ta rakerdes ta phendes apo leste: Tu phene les! 
MRK.15.3	Ta o barorašaienge andena but midžiko Kova prala leste glan. 
MRK.15.4	Pilatus phučes les komoli ta phendes: Rakerehas tu či? Dikhe, havi baro kova anen len prala tute glan! 
MRK.15.5	Jezus ta phendes či buter, pala kerdes Pilatus bare jaka.
MRK.15.6	Api baro kurko mekjeslo lenge jekes kolender kai hin štilde, komes ta kamenlen. 
MRK.15.7	Pala has jek, Barabas khardeslo, kai vejes štildo kola godlopencer, ta ani godlopen mardeslo jekes. 
MRK.15.8	Her ta vejes o čel pre, mangeslo, job kamela ta kerelo lenge, her kerdeslo ha. 
MRK.15.9	Pilatus ta rakerdes lenge ta phendes: Kamena tume, mo ta daues tume piro i kralo o biboldender? 
MRK.15.10	Job ta džandes, ta vela kola barorašaiender i chojater phukerdo. 
MRK.15.11	Kola barorašaienge anden o čeles pre, ta dela job lenge o Barabas piro. 
MRK.15.12	Pala rakerdes Pilatus ta phendes apo lenge: Ho kamena tume, ta keraues me i kraleste o biboldender? 
MRK.15.13	Jon dejen papele godli: Mo ta velo trušuldeni. 
MRK.15.14	Pilatus ta phendes apo lende: Ho kerdeslo ta hi midžiko? Jon ta dejen papele godli: Mo ta velo trušuldeni! 
MRK.15.15	Pilatus ta kames ta hi o čel pokoni, keake dejeslo lenge o Barabas piro, ta job dejes o Jezus, ta velo pala o čupniden ta trušuldeni.
MRK.15.16	Kola kuremangere anden les ani trujel o montaiester, ta kharden o celo hufke ketene. 
MRK.15.17	Ta čiden i lolo ripen drumoleste, ta kerden i karesker cepani, ta čiden la les pre. 
MRK.15.18	Ta jon parkerden les: Parkerdo hal tu kralo o biboldender! 
MRK.15.19	Ta jon kurden lesker šero i čupenca ta čungerden apo leste, ta pejen apo lenger čang, ta kerden her ta kamjen les. 
MRK.15.20	Her ta prasaden pen les, lejen jon les o lolo ripen tele, ta randžerden peske lesker kola, ta anden les vri, ta velo trušuldeni.
MRK.15.21	Ta jon taperden jek, kai gejes pašaglan, Simon Kirenester, kai vejes o gibester, i dad o Aleksanderes ta Rufuses, ta hidželo lesker trušul. 
MRK.15.22	Ta jon anden les i kunčeske Golgatha, kai kharela: Šeresker kunč. 
MRK.15.23	Pala dejen pen les mol i bigudlo (bitteren) kovenca maškermen ta piel; job ta lejes les gar. 
MRK.15.24	Pala ta has lo trušuldeni, koterden jon lesker kola, vicerden o meklopen kater pral; kon mo ta veles čomoni. 
MRK.15.25	Has kome i trinto kori, kai trušulden les. 
MRK.15.26	Ta has i pralačinepen lesker doš prečindo: O kralo o biboldender. 
MRK.15.27	Ta jon trušulden les i dui marepangerenca, jek ap lesker čači, ta o vaver ap lesker zerbi. 
MRK.15.28	Kana veles o činepen čačo kerdo, kai phenela: „Job vejes gindo tela i došengerende“. 
MRK.15.29	Kola ta gejen pralaglan, praserden les, ta grotlden lenger šere, ta phenden: „Oi, ta phagere tu o kangeri tele, ta kerela papele ani trin dives. 
MRK.15.30	Hilderve tuke, ta ve tele i trušulester.“ 
MRK.15.31	Keake praserden nina o barorašaienge ta livrosikermangerende ta phenden tela vaverkend: Vaveren hilderdes job, leske našte hildervelo gar. 
MRK.15.32	Christus o kralo o Izraelester, ve kome tele i trušuleste, me ta dikhahas ta pacahas les. Nina kola kai vejen leske trušuldeni praserden les. 
MRK.15.33	Her ta vejes o šobti kori, has i tamelopen api celo phub džin o ejati korieske. 
MRK.15.34	Ta dran i ejati korieske dejes Jezus baro godli ta phendes: Eli, Eli lama sabachthani? Kova kharela: Miro Devel, miro Devel, hoske mekehas tu man? 
MRK.15.35	Her ta hunden jekenge lender kai hi len kate tardo, phenden jon: Dikhehe, job kharela o Eliaseste. 
MRK.15.36	Jek ta našes koi, čides i ješka o šutenca perdo, špildes les i čepeneske ta dejes les ta piel; kai phendeslo: Mekena foni me kamahas ta dikhas, kai ta vela Elias, ta lejeslo les tele. 
MRK.15.37	Jezus ta dejes baro godli, ta merdes. —
MRK.15.38	Ta o baro than ani kangeri cerdes preender džin telender. 
MRK.15.39	Her ta dikhes o barokuremaskero kai his kate tardo, ta dela lesker mulo pre, keake baro godledo phendes job: Čačo kava dženo has o Devlesker čavo! — 
MRK.15.40	Has les nina kola romia kate, kai dikhena duralester, tela kalen has Maria Magdalena ta Maria o tikno Jakobusester, ta o Josefester dai, ta Salome. 
MRK.15.41	Kai našen pen les pale, her ta has kome ani Galilea, ta but vaveren, kai džejen pen lehe pale Jeruzalem.
MRK.15.42	Kai ta has brevul (has o dives glan o kurko) vejes Josef Arimathiaro, 
MRK.15.43	i šuker rai, kai ačjes nina api Devlesker them, ta gejes rišo paša Pilatuseske drin, ta mangjes pes i mulo trupo o Jezusester. 
MRK.15.44	Pilatus ta kerdes bare jake, ake ta merdeslo, ta job mekjes, ta vela i barokuremaskero, 
MRK.15.45	ta phučes les, ob ta merdeslo. Her ta džandes job o barokuremaskereste, dejes job o Josefeste i muleskertrupo. 
MRK.15.46	Josef ta kindes pochtan, lejes la tele, job kerdas kola pochtan drumo leste, ta čides les ani handako; kai has ani baro bar kerdo, ta čides o bar glan i vuder o handakester. 
MRK.15.47	Ta Maria Magdalena, ta Maria i dai o Josefester dikhen les, kai vejeslo drin čido.
MRK.16.1	Her ta gejes kome o kurko glanopral, kerden Maria Magdalena, Maria o Jakobester dai, ta Salome hakerlai kova ta gejeslen koi ta makjen les drin. 
MRK.16.2	Ta jon vejena o ersto dives i kurkester ani taisirlakro paši handakeske, her ta gejes o kham pre. 
MRK.16.3	Ta jon phenden telavaverkend. Kon čidela men kova bar o vuderester kava handakeste nikli? 
MRK.16.4	Her ta dikhen len koi, dikhena jon ta his o bar nikli čido, ta job has baro. 
MRK.16.5	Her ta gejes jon ani handako, drin dikhenlen i murš paši čači bešdo, ridlo i parno ripenenca, ta jon darden pen. 
MRK.16.6	Kava ta phendes apo lenge: Darena tume gar! Tume rodena Jezuses o Nazaretester o trušuldeskero; job hi preštardo, job hi gar kate; dikhena o kunč, kai čiden len les. 
MRK.16.7	Džahas tume koi, phenena lesker sikermangerende ta o Petruseste: Job džala tume glan pale Galilea, kote veles ta dikhen les, her ta phendes job tume. 
MRK.16.8	Jon ta gejen len vri, ta našen penge i handakester nikli, ta o dar ta triserpen taperden len, ta jon phenden kenkes čomoni; ta jon daren pen le.
MRK.16.9	Her ta štejeslo taisirlakro o ersto dives i kurkester pre, vejeslo sikeder i Maria Magdalenake, kai traderdeslo later efta bengen vri. 
MRK.16.10	Kaja džejes koi, ta phendes les kalenge, kai his len paša leste, kala kai kaiden ta ronden pen. 
MRK.16.11	Her ta hunden jon, ta hi lo džido ta veles later dikhamen, pacena les gar. 
MRK.16.12	Ta pala sikerdeslo job ani vaver trupeste duienge lender api drom, kai ta džejen pen apo them. 
MRK.16.13	Ta jon džejena koi, ta phenden les o vaverende; jon ta pacjen lenge či.
MRK.16.14	Palduno sikerdes pes job kola dešjekenge, kai bešjen paši chamaskero; job ta čingerdes lenger bipacepen, ta lenger midžiko dzi, vel ta pacenle kolenge gar, kai dikhen les, her ta has lo preštardo. 
MRK.16.15	Ta job phendes apo lenge: Džan tume koi ani celo phub, ta rakerena o sastobičerpen hake džene. 
MRK.16.16	Kon ta pacela ta hila boldo, kava vela hilderdo, kon ta pacela či, kava vela gar hilderdo. 
MRK.16.17	Kalen kai pacena veles kome kaja botenge kandlo: Ani miro lab tradena jon bengen vri, ta rakerena o neve rakerpenca. 
MRK.16.18	Hadervena sapia pre, ta pijena čomoni merdes, pala kerene les či; api naselenge vel ta čiden jon lenger vast, ta jon velen saste.
MRK.16.19	Ta o rai Jezus, her ta rakerdeslo lenca, veles pre‐ando ani bolapen, kote bešelo paši čači o Devleste. 
MRK.16.20	Jon ta džejen koi, ta rakerden api celo phub, ta o Rai has lenca ta zordeslo o lab druchi kola botenge.
