SNG.1.1	Job tshummel man pes mujeskeri tshummeppen.
SNG.1.2	Ghé, tiri kamappen hi feddidir sir i mol.
SNG.1.3	Washke tiri shukkeri sungemaskeri dshedd tro nav hi ssir jek o shukker dshedd tshordó; i rakjah tukke kamélen.
SNG.1.4	Zerdal manghe, mee nashraha pal tukke: o kral me andas trin leskeri ismja: mee rikkervaha tiri kamappen butdir har i mol: mee loshainopeha te loshainoweha pashal tudder: i tshatsho manusha tot kamena.
SNG.1.5	Oh rakkljah catter Jerusalem, me hom kalli, tami, shukker tshai: ssir i tattin an o Chedar, har i bari ismja Salomuneskero.
SNG.1.6	Na te dikjen ke me hom kalli: ghé o kám mander gattehas pashal pes jaklengheri, miri dejakri tshavi tshingérdel pral mander, jol me tshivdel pral i dráka: te, me na dikjas miri drak, ki his kolesgre.
SNG.1.7	Oh tu ke miro dsi kamela, sikker mande, gai tukke tshareha i bako, te gai tukke kereha la kirodara an o pashodiwes. Hoske me hommes ssir jek ranni ssar o glanduno tikklo, pal i laki tudder mali?
SNG.1.8	Ganna na te dshaneha les, oh feddidir andri e shukkeri raklja, dsha wri pallal o bakengheri stakkerpen, te tsharava tiri pussin pash i bersheskeri tattin.
SNG.1.9	Miri gakki, tu hal har i grasni, an o Farunesder schwengli.
SNG.1.10	Tiri tshammi hi latshi andri lesderi shukkerpen, te tiri mén andri lesderi torin.
SNG.1.11	Men kerena tudder sonnigajakri shukkerpen, pashall u rupengheri tshappi.
SNG.1.12	Dalla o kral hi andri lesde chawen, mro dshorett dijas wri pes sung.
SNG.1.13	Mro gakko man hi ssir o dikkno sungemaskri gonna, i rat tshivela job mashker miri tshutshin.
SNG.1.14	Mro gakko mander hi har o trap Cipriakri mól ani miri drakja Enghedengheri trom.
SNG.1.15	Ne dikk, miri gakki: tu hal jek shukker chai; miri chelladi, dikk tiri jak hal ssir i pillsterisderi.
SNG.1.16	Na, tu hal latshó, mro gakko, te auwa kámelo: maro tshibben ninna hi andri o sennélo buchloppen.
SNG.1.17	Mari kehreskeri dshakkerpen hi an u shcelti pabui, te mari stakkerpeskero gasht an o sennélo rukja.
SNG.2.1	Me hom i rosa Saaronasdi, o sorlet chossengheri.
SNG.2.2	Ssir i ssorlet mashder i karo, jakke hi mri gakki mashder e rakklja.
SNG.2.3	Ssir o pabui mashker jek weshereskero rukkia, jakke hi mro gakko mashder o chavi: me kamjum te atshav pallal lesde tamlopen, te me beshdjom tellesde: ninna lesde rukhenghere has gúlò an mri pralduno muj.
SNG.2.4	Job me anjas an o màlenghero kèr, te lesde bladamaskeri apri mande hi: Kamappen.
SNG.2.5	Gherden manghe sorèllo pashall i tushni; kerden manghe jek tshibben pabujesderi: ghé, miro dsi dukkalah ssar o kamapen.
SNG.2.6	Ke lesdo sservo wast tshivelas tel miro shèro, te tshatsho pesde hal trujal mander.
SNG.2.7	Me mangava tudder, oh rakkli awri Jerusalem, pal i poshkom, te i sarwo an i akra, ke tumme na dshangervenes miri pirani, te ninna leha pagherdenes dela sowapen, tshin la kamela.
SNG.2.8	Shung miro gakeskero godli: te dikk, job avela ganna stewandó pral i domba, job stewa pré i dikni montaja.
SNG.2.9	Mro gakko hi ssir jeko pessiòlo, vaj o jekk ssarvo: dikk, aki job hi tshivela pal maro par, job dikkjola mashkerall i wochni, job manghel dikkava pesde masker i ssastengheri wutri.
SNG.2.10	Miro gakko me rakkervas mander, te man pendas: Dshanga tumme, miri gakki, ladshi miri, dsha tui krik.
SNG.2.11	Poshke, na, i wenta geijas akui, o tsiro kònnendir brshindo gherdias waver, te gejom krik.
SNG.2.12	I tshorell pen dikkena man an o puw, ò tsiro te gabbaf wejas, te shunnèla man i godli dran i nijaleskero tshiriklo ano maro trem.
SNG.2.13	O fighe dijas wri lesde dikni fighie, te i tarni molijakro rukki dèna sung: dshanga, miri gakki, mri ladshi rakkli, te dsha tu krik.
SNG.2.14	Oh miri pillsteri, ke tshiveha andri o chebb pallal i pesso bar; andri o gashtengheri tshorohanes, kerreha man dikhaf tiro muj, kereha mander shunnaf tiro godli: ghé tiri godli hi gùlo, te tiro muj hi ladshó.
SNG.2.15	Tapperden mander u lischka, i dikni lischka ke tshukkóvena i molijakro ruk, mari sennéli mulliakro trab.
SNG.2.16	Mri gakko job hi mander, te me hom lesde, lesde, ki tsharela i gakki andri o ssorlet.
SNG.2.17	Dsha pal, miro gakko, har o pashkom, vai o ssárvo, apri i domba catter Beter, tshin ano deisirlakro momelin, te ke i tamloppen nashadlahas krik.
SNG.3.1	Me rodjum andri mro tscibben, an i rati, akowa ki miro dsi kaméla: me rodjum les, auwa me na hadshinum les.
SNG.3.2	Ganna me stewa pré, te dshava trujal o tém, te o buchli trom, glan i stello: me rodawa akowa miro dsi caméla: me rodjum les, gai manghe na hi hadshinóles.
SNG.3.3	O radapaskeri lurdi ki dshannan trujal an o tém, manghe tapperdjahas: te me rakkerdjas lende: na tumender hi diknó akowa ke miro dsi kaméla?
SNG.3.4	Jakke me hammes geijas pal len, te me tapperdjum akowa ki miro dsi kaméla; me tapperdjum les, te me na mukkava les, tshin me na liggerdjumes les andri mro dejeskeri kér, te an i isma ladi manghe hi beneldò.
SNG.3.5	Tummen man dela sówel, oh rakkli awri Jerusalem, pal i poshkom, te i sarwo an i akra, ke tumme na dshangherwenes miri pirani, ninna leha pagherdena later sowapen, tshin la kamela.
SNG.3.6	Kon hi gaja, ke awela awri i diwio wesh, ssir i zelo tuwesde, ke tuwavdela pes ssar o schwendo sungemaskeri tuw, catter shukker makappen, te dral hakko tuwiakro buchloppen?
SNG.3.7	Ne dik u Salamunesderi tshibben, trujall les hi trivarbiz lurdi, dral i hoino Israeleskeri manush.
SNG.3.8	Jol share ligger i ssáwo, te jol hi dshiskeri: jakko liggervela pesde ssáwo an o trupeskeri torin, waske o trash ssar i rat.
SNG.3.9	U kral Salomoni pes kerdas jekko tshibben pashall o Libanoneskeri gasht.
SNG.3.10	Job kerdas lengheri zelo an o rupia, pesde pernitza an o sunnegoi, i dshakkerpen loleskero pár, te an i later pashal job kerdas tshivava glan ssar o mosaiskéri bútin i muj joi akowa job kamaf kondidir mashder e rakkli Israelesdi.
SNG.3.11	Tshaja Israelengheri, awena wri, te dikkena u kral, pal pesde sherekereskero statin, ke leste deja tshivahas pralduno an o lesde piawenderi diwes, an o diwes dsisleskero loshainopé.
SNG.4.1	Ne hal akí, mri ladshi gakki, ne akí ladshi: tiri jakka, andral tiro sureppen, hi ssir o pillstérinlengheri: tiri balla hi ssir o pussienghero pessiólo, ganna jon dshanna tele awri o domba Galaad.
SNG.4.2	Tiri danta hi ssir i bakia, hallauter hare, ki awena wrin e towamaskeri pánin, te share hal lender dui baki kettenè, te nani jekkia hi bitarni.
SNG.4.3	Tiri wusht hi ssir o taw gattendó an o lolo, te tiro rakkerpen hi camélo: tiro dshakket andri tiro surrapen har jek gotter lolo gibjakeri pabui.
SNG.4.4	Tiro mén hi ssir o Davideskeri filezzin, kerda ke an i kurapaskeri sikkérpen, apro akowa hi bladerdò desh shél ssasterni golini, cotter ssare dshiskeri romni.
SNG.4.5	Tiri dui tshutshin hi ssir dui tarni gurumni kettené, ki tsharena mashder i parno tsungemaskero tshorell.
SNG.4.6	Tshin ani deisirlakro momélin, te ke i tamloppen nashádlahas krik, me dshawa apr o sungdello domba te apr i dikkni montaja ssar o schwendo tuw.
SNG.4.7	Tu hal zeli ladshi, mri gakki, te keek dshoss hi andri tute.
SNG.4.8	Av pash mande dran o Libanon, o piréni, av manssa dran o Libanon: ni dikk wrin i baroppen Amananesde, Senniresde, Hermonesde, wrin i tshinekkenderi chebb, te wrin i domba ssar e díwio madshka.
SNG.4.9	Tukke czordal mander miro dsi, oh mri piréni, vai pén, tuke czordal miro dsi ssar tro jak, ssar jekko shukkerpen toter mén.
SNG.4.10	Har hi ladshi tiri kamáppen, oh pireni, oh miri pen, har feádidir hi tiri kamappen ssir o mól, te o sung tuderi shukkeri dsheddi, khon feddidir ssir hallauter tshare trab.
SNG.4.11	Oh piariskrizza, tiri wusht mander sapovena ssir u gwinakri markélo: u gwin te thut hi tellesteri chib: te o sung tuder soha hi ssir o sung awri o Libanòn.
SNG.4.12	Oh piariskrizza, mri pen, tu hal jekko glidúno bár, jek glidúno hánning.
SNG.4.13	Tire newo tshara hi jeko bar cotter lólo gibjakeri pabuj, te ke vaver shukkeri pabuj, cotter cipriakri te sorlet leskere traba.
SNG.4.14	Sorletleskere, te corcom, ssar panjakro tshardò bisa, te chinamon, te ssar hakko schwendo tuwiakri: rukk mira, te aloe, te ssar hakko kondidir mishto trab.
SNG.4.15	Vai páresderi hanning, vai o chev dshiwdesderi panin, vai nashepaskeri panin téle wrin o Libanòn.
SNG.4.16	Stakker wri, oh parrul gatter i rat, te av tu telle o kám: haddel prekal mro bár, te gheraf ke pesde tshari trab mander sapovenas: mro gakko ável ani leste bár, te achales dran o bachtlesghero pabui.
SNG.5.1	Oh piaviskrizza, mri pen, me vijum an o miro bár: manghe hi pagherrdó mri mira, te miri sungemakeri tuwi: me achallum miri gwinjakri marreklo, te miro gwin, me pijom mro mól te mro thut: gakki, chaven, pijen, te pijen tutter matti ssar kamápeno.
SNG.5.2	Me soravaha, támi, miro, dsi dshanghérelas, dallal me shundom mro gakkeskeri godli, ke, kurandò, job pendelas: Gherda man pré, miri pén, miri gakki, miri pilsterni, mri tshatshi rakkli: ghè, miro shéro hi pardo cotter rásni, te miri kritzo balla ssar i ratjakri sapánóppen.
SNG.5.3	Te me rakkerdum: Manghe hi rivdó wri mri soha, har me rivardjumes la? Manghe hi towavdò miri pirine, har me tshicklijumes len?
SNG.5.4	Mro gàkko tshijas peskeri wast perdal u wuttereskero choro, te trujal mri maskero godli, me heiwom but dosha waishghe len.
SNG.5.5	Me stelljum prè te gherdaf prè an o mro gakko: te, miri wast sopórenas tshatschi myrra, te miri pustin tshatshi, apri o tapperpen ssar o bucklo.
SNG.5.6	Auwa, me gherdjum pré an o miro gakko: vai, mro gakko has jakke dshavundo pále, te jov gijas akui: me hommes bigodjakri, ganna job pendelas: me rodjom les, vai me na les hadshidom: me kerdium les, tami job me na rakkerdas mander.
SNG.5.7	E putshtiakri ki ávena trujal o trem hadshingene manghe, me kurjorde, me tshindjele: i parresderi lurdi me line krik mro glandúno dikklo wran mander.
SNG.5.8	Me mangava tutter, tshai catter Jerusalem, ka tumen hadshivas mro gakko, ho rakkervaha lesde? Penden lesde ke me dukkava man ssar o kamápen.
SNG.5.9	Ho hi tiro gakko butdir ssir jekko vaver gakko, oh khoneste ladshi mashder i tshaia? ho hi tiro gakko butdir ssir jakko vaver gakko, gai tutte mander hi mangal jakke kándela?
SNG.5.10	Mro gakko hi parno, har lollo, job haddela o bladamaskeri glan desh‐shel manushi.
SNG.5.11	Leskero shero hi but tshatshó sonnegoi, leskeri balla hi kritza, kalli ssir o korúka.
SNG.5.12	Jakkianghere hi ssir o pillstérni, pash i nashwelo panim; te jol hi har tshovdó andri o thut, tshivado ssir andri jekko angusterin.
SNG.5.13	Leskeri tshamma hi ssir o jekki tshurna sungemaskeri trab, e soniagakri mochton: leskeri wusht dikkena wri ssir i parno shukeri tsorlet, te pessopowena u tshatshi myrra.
SNG.5.14	Leskeri wast dikkena wri ssir o sonighiakri angusterin andri akki hi stilldó i beryl latsho pár: leskero pér hi parno gogálo kosdó, dshakkerdo ssar i latsho zafíri.
SNG.5.15	Pirslenghe hi ssir o zeli cotter marmori pár, tshivdó pral o tshatsho soniagakri stello: lesderi muj har o Libanón, mishto ssir i cedar.
SNG.5.16	Leskeri pralduno muj hi share gulóppen, te job hi butdir kaméloppena. Jakke miri kamappen, jakke hi mro gakko, oh tshaia Jerusalemender.
SNG.6.1	Gai gijas tiro gakko, oh kohnedísteri andri o shukkeri ladshi rakkljah, gai pes job nashando krik tro gakko, ke manghe sasti rodáwa les pashal tut?
SNG.6.2	Miro gakko gijas tele ani kolesdero bar, ani ssunghemaskeri tshurna; te tsharav leskero pedo pal i bar, ninna te paggervav o parni tshatshi tsorelli.
SNG.6.3	Me hom gakerskero miro: te miro gakko, ke tsharela miri pèdo mashdér i parni tsorel, hi jol mander.
SNG.6.4	Miri gakki, tu hal ladshi ssir o Tirsjakri fóro, kaméla har Jerusalem, tareni ssir but lurde kettenè pashall blademaskeri.
SNG.6.5	Risser ap o rikk tiri jakka ke la me na dikken, ghé lihi mande silérdo.
SNG.6.6	Tiri danta hi ssir i bakla hallauter hare ki avena wrin o towamaskeri panim, te share hal lender duj bakki kettené, te nani hi jekkia bitarni.
SNG.6.7	Tiri dshakket andri tiro surrappen har jek gotter lolo gibjakeri pabuj.
SNG.6.8	Penhi efta desha krallitza, te ochto desha chelladi, te tshatshi rakklia bi gin.
SNG.6.9	Tami, miri pillsterni, miri tshatsho rakkli, hi kokeres, (kokeres later deja), te barwloppen later ke beneljas leha. I rakkljah dikkénlela, e rakkerdle: Joi hi tshatsho dúno chai, tami e kralitze, te i tcelladi, sherdlen joi.
SNG.6.10	Ho gaja ke dikkela wri ssir o deisirlákro polóppen, ladsho ssir o tshon, tshatsho har o kamm, trashduno ssir but lurdi kettené pashall o blademáskeri?
SNG.6.11	Me hom dshavandò tele ani pendjackeri bar, te dikkav u sennèlo buchlopenengheri trabba, te dikkaf ap o molljakero trabba dijannes wri lader jakklengheri te o lolo gibjakero pabuini lengheri knopis.
SNG.6.12	Me na dikkjom ke miro mangappen kerdjas man har o sikkelo schwengli wrin Amminadib.
SNG.6.13	Av pale, av pale, oh Sulmi, av pale, av pale ke manghe sasti te dikkaf: Ho kammen te dikav ap o Sulmiakri romni: Ssarta ap i kellepáskeri lurdeste rakkli wrin Manaim?
SNG.7.1	Oh kraléskero tshai, har mishto hi tiri pire, andre lesde diracha u banderppen! tudderi héro hi ssir e lasho par cotter jek sikkerdó ruppénghero‐gherappáskero.
SNG.7.2	Tro perenghero pash hi ssir jekko zepháni tsharo, andri gowa na kek war doshéla o piwen: tro pér hi o gib gherduno kettenè, surevdó trujall ssar o parno sungemaskeri tsorell.
SNG.7.3	Tiri dui tshutshi dikkéna wri ssir dui tarni napiólo.
SNG.7.4	Tiro men dikkela wri ssir jekko parno gogeskero filezzin; te tiri jak i madshingheri panin an o Hesbon, pash o temeskero wutter ssar Batrábbim: tiro muj dikkela wri ssir o filizzin ssar o Libanón, pal Damaski.
SNG.7.5	Tiro shero pral toter hi ssir o domba Cármel, te tro sheréskero suráppen dikkela wri ssir o lolo kraleskero blaschda bladeldó an i gaschti.
SNG.7.6	Har ladshi hal tu, te har but kamêla, oh mro kamappen, ssarte hallauter loshainopé.
SNG.7.7	Agowa tiro trupéskero baroppen hilles ssir jek patrinakria, te tiri tshutshin ssir o mólleskero trakkia.
SNG.7.8	Me penjom: me dshava apri o patrinakria ruk, te me tapperdava man ani lesde gotter, te tire tshutshin ganna kaména te vava ssir o moljakri trakkia, te tro nakéskero sung ssir o pabuiesderi.
SNG.7.9	Te tiro pralduno muj kamela te vava ssir o tshatsho mól, ke dshala tele gudlo andri mro gakko; te ke kérela te rakkeraff o sowapesderi wushta.
SNG.7.10	Me hom mander gakko, te leste kamàppen hi pal mander.
SNG.7.11	Dsha, mro gakko manghe kamaha te avav perdjal i lunka, ke mee anjam krik i rat an i gáb,
SNG.7.12	Te hadawa mande an o deìsírla, te dshawa trujal o mòljakri trák; te dikkav, ap o móljakero trabbá dijas o knospi; ap o tsorello bidshakkérwena pen, te o lolo gibjakero pabuini dijánnendle lesde knospi: agotté me doeha tutter miri kamáppen.
SNG.7.13	I shukker sorlet pen súngenle mender, te ap mari wutteri hillen hallauter shukkerpen, tarni, te puri, tshìvavdo ke, tudderi, mro gakko.
SNG.8.1	Ah, ke te tu hames har jeko manderi prali, ke uropijas wrin masde miri deja! te, ap me hadsindjumes tutte drán, me tshummerjummes totte, te, kek manghe me vragherdahas.
SNG.8.2	Me liggérdjummes totte, me kammjummes te anaw tukke andri miri dejakeri kér: agotté, joi tukke sikkerdahas, te me dijummes tudder te piava sungdelo mól, ssar mander lolo pabuiakro tshardo tráb.
SNG.8.3	Ke lesde serwo wast dshav tell miro shero, te lesde shasto pesde halles mander trujall.
SNG.8.4	Dena tumme man sowel, oh rakklia catter Jerusalem, ke tumme na dshangherwenes miri pirani, ninna leha pagherdenes dela sowapen, tshinela kámela.
SNG.8.5	Sso agowa, ke ánáwa wrin u díwio, ke tshivela ho gandela apro later pìrèno? Me dschangwdiom totte tel jekko pabujengheri ruk, gai tiri deja tuke benéldahas, agotté ke totte benéldahas laha joi hi ladshjevdola tudder.
SNG.8.6	Tshir mande ssir jek gotshick apri tiro dsi, har jek gotshick apri tiri mússin: poshke o kamappen pes sórelo ssir o meráppen, u summèppen midschih har o benghèl: lesde jángar ssir o jak, ssarte but baro chadscherdi.
SNG.8.7	Butti panin nashti te meráwa agotté kamappen, gai, keklenja tafanara len: te, ap jekko dijahas share lesde kereskero barwelloppen, ke agotter kamappen job kerdiahas pesde prasdo.
SNG.8.8	Manghe hi jik dikkni tarni pen, ke tsin ganna nanghe lahi ura: ho hunte men te gheraf mande penha, di konikva kamela te rakkerpen laki?
SNG.8.9	Di lihi jeki kokerel pár, mee kherdaha pralsde jek rupenghero filezzin: te di lihi jek wutter, mee gherdaha sorèles la cotter cedreskeri paia.
SNG.8.10	Oi! me hom agowa pár, te miri tshutshin akotter filizzin: ganna me hammes glan lesde muj har koi ke hadshinahas o pokonóppen.
SNG.8.11	Salomuni hilleste jek móljakro tràk ano tem Bal‐hamon, te job dijas la ke o laste rakkapaskeri, aúwa, ke hakko lesderi pleisserdjahas lesde desh‐shél rupéngheri lówo: ke ladi pabuj.
SNG.8.12	Miri móljakero trak, ke hi mrohi, hille glan mander. U desh‐shél lowo rikker tuder, oh Salomuni: te but desh‐shél vellahas ladi rakkapáskeri ssarte lasde pabuj.
SNG.8.13	Oh tu ke atsheha ani gowa bár, miri mál shunèna tiri godli: kerdav manghe shunnavla.
SNG.8.14	Av krik, mro gakko, ssir o serwo, te o bakko, apri i shukkeri sunghemaskeri domba.
SNG.8.14	GHERDO
